,stage,Strain (\%),SOK2-YFP Intensity
857720,st4-2,0.7124823775007301,0.1142675059452011
857739,st4-2,0.7696916134535233,0.105912276642637
857740,st4-2,0.8024200311524269,0.0599940692093614
857746,st4-2,2.220902696109759,0.173941488421582
857747,st4-2,1.0009345266990726,0.2061139076653021
857749,st4-2,1.7187519554307868,0.2280342685364973
857750,st4-2,0.816352429949107,0.2074346546398897
857751,st4-2,1.8597941485142524,0.1845129480528477
857752,st4-2,4.607313886792727,0.147407395759707
857756,st4-2,3.276188675274019,0.2819633098310475
857757,st4-2,1.1597866172255362,0.1864406085585047
857761,st4-2,1.3386479624895107,0.2512130410287491
857770,st4-2,1.4640851935153505,0.2607541854413082
857771,st4-2,2.327228312100443,0.1144137222111899
857789,st4-2,3.3176177554117543,0.1295531929311113
857795,st4-2,1.5982226539172375,0.2026098996556278
857796,st4-2,1.607548316731142,0.243183366113108
857798,st4-2,1.3665343869127222,0.3257352790868508
857799,st4-2,1.3185353126542654,0.3228044240009033
857800,st4-2,4.016000423197998,0.3655315084627
857801,st4-2,2.9583583855987934,0.2840201828972074
857802,st4-2,2.7032692499975486,0.1834430481378422
857820,st4-2,3.7959802732976096,0.3244248380464674
857821,st4-2,1.3282018802855668,0.2377463128793754
857826,st4-2,1.2715055292222979,0.2528638307672942
857827,st4-2,1.3301812243386235,0.2825056445802259
857828,st4-2,1.388427771090936,0.1809625783742319
857829,st4-2,2.0511347872602026,0.100518496153483
857832,st4-2,1.1973632612474532,0.1949597616079719
857845,st4-2,3.9917817749029174,0.3277974100813534
857846,st4-2,3.454188256955617,0.3047354266616772
857850,st4-2,0.744441959334011,0.1561132568593339
857851,st4-2,0.9405253378694434,0.2102824205717732
857852,st4-2,3.9426269944924717,0.2354517060698452
857853,st4-2,3.018546596100025,0.1047644094882332
857857,st4-2,0.9547147970804896,0.1117640439111261
857858,st4-2,1.079164545023236,0.1644932944553384
857869,st4-2,2.805934250625607,0.1512332886855001
857870,st4-2,2.470745058508954,0.0804537277943336
857875,st4-2,1.1462270340890364,0.1107865460460168
857876,st4-2,1.1649600684826709,0.1499754691157476
857880,st4-2,1.2110908712728545,0.0321111568702213
857881,st4-2,1.210580471781745,0.0760468494235801
857882,st4-2,0.2688144331895102,0.1233644831550158
857883,st4-2,0.2713963891648161,0.0927992847752801
1061664,st5-2,0.7561593379177225,0.0198736115298656
1061665,st5-2,1.0261946033206784,0.0021519538084593
1061671,st5-2,0.7562917023104255,0.0726187390666131
1061690,st5-2,0.4519059207656613,0.1106554504332096
1061691,st5-2,0.5085314438426536,0.1009822168140471
1061695,st5-2,0.8896879856022335,0.1777299283608452
1061696,st5-2,0.1781672285628276,0.0823212632456965
1061697,st5-2,-0.6393452842234177,0.0562174206785737
1061702,st5-2,0.22832051464347475,0.1038362981692798
1061710,st5-2,0.9040742891232488,0.1837035149903037
1061711,st5-2,2.627047884966088,0.2243163124724558
1061716,st5-2,2.164752501581705,0.2214305182201638
1061717,st5-2,2.949947967388013,0.1277553508668855
1061718,st5-2,2.9606061083382813,0.0866633265081641
1061722,st5-2,1.7752292574870179,0.176431197042083
1061723,st5-2,1.7930602288027189,0.1838353610007999
1061724,st5-2,2.2383572685201307,0.2608868217193784
1061725,st5-2,2.236867221330675,0.2017276295433278
1061729,st5-2,1.3166393107665393,0.3065669050706802
1061730,st5-2,1.8140770009570164,0.1565490571127977
1061731,st5-2,3.5016677963070086,0.1920577026001748
1061742,st5-2,2.5829235645032886,0.2503896215773096
1061743,st5-2,2.916812480719529,0.2046723613524082
1061746,st5-2,1.648915325475125,0.2726689781175311
1061747,st5-2,1.8505248378325376,0.1500840985919363
1061748,st5-2,3.1843941185091658,0.1216331818194836
1061753,st5-2,3.2436046426087226,0.0869804816722518
1061766,st5-2,3.768919116463265,0.1703200651665058
1061767,st5-2,2.2603431676604315,0.1461682464372364
1061770,st5-2,2.299985920418955,0.2915054592358151
1061771,st5-2,2.291532655462093,0.2511209004670457
1061772,st5-2,3.6606693701659436,0.269243318393275
1061773,st5-2,2.6908546985719726,0.1455167995248756
1061774,st5-2,2.6883192678254764,0.0802756245884082
1061780,st5-2,2.9719829627003893,0.1911248131532234
1061781,st5-2,2.6424764832546925,0.1616416740405208
1061787,st5-2,2.772938784169468,0.1124092395007031
1061788,st5-2,2.5120991335168896,0.0739701286009778
1061791,st5-2,1.2598892967784117,0.0922716621645229
1061792,st5-2,1.2583861646672634,0.097734166503388
1061793,st5-2,1.6019229558597061,0.1588929126761152
1061794,st5-2,1.616578024257458,0.1280427250503532
1061799,st5-2,4.382380173138236,0.2547275673843227
1061817,st5-2,2.4167864421501526,0.2815511824633521
1061818,st5-2,2.0738941979578254,0.2231515850495511
1061822,st5-2,2.6864899490082745,0.1196252629212699
1061823,st5-2,2.6761527624402888,0.0681325062027567
1061826,st5-2,2.1317489160967424,0.1488139102185897
1061827,st5-2,2.9206483338809224,0.1586169779358757
1061828,st5-2,2.8952716346542373,0.1964007413079309
1061829,st5-2,2.873936247843628,0.1033377818666107
1061834,st5-2,2.257941847637916,0.3391247049965198
1061835,st5-2,1.4555340909408685,0.1543636047897054
1061858,st5-2,1.8977847343928964,0.1811482393407628
1061859,st5-2,1.7450896066410875,0.1528220115529967
1061863,st5-2,1.7319968382691966,0.1556122386707674
1061864,st5-2,2.336379775869855,0.1614238381300249
1061865,st5-2,2.759523242833111,0.1565557519374536
1061869,st5-2,1.4151829963328462,0.129258105462739
1061877,st5-2,3.0013199637364623,0.1705032541283375
1061878,st5-2,1.9249141170900965,0.0996333158639646
1061883,st5-2,1.6283426980463385,0.1607129639415297
1061884,st5-2,0.1927941750788247,0.1139852592833885
1061887,st5-2,0.7935142584107661,0.0849408165184794
1061888,st5-2,1.2461110738149306,0.1165513483753628
1061900,st5-2,0.953326609479342,0.0187458609706356
1061901,st5-2,0.709148565293717,0.0355864801665925
1061902,st5-2,0.9480565796966887,0.0580298855919092
1061903,st5-2,1.0553475758043547,0.0890511690786784
1061904,st5-2,-0.5262537061953543,0.0770729616524624
1205415,st6,0.5485951504810946,0.0623201328032834
1205416,st6,0.7879139524247857,0.0091304380856358
1205423,st6,-0.8644436506916628,0.0474218135327152
1205429,st6,0.16736964916330194,0.084389748544388
1205430,st6,0.7534186819572772,0.1322871344545128
1205435,st6,0.10051555364831644,0.1058257917895954
1205436,st6,0.10771621684656353,0.0789822761139824
1205437,st6,4.023370567580575,0.1591408271004433
1205452,st6,0.1690210944608531,0.1179297832157594
1205453,st6,0.17107203274173347,0.1788203855041452
1205456,st6,0.028307953981442643,0.1568698911425588
1205457,st6,1.1747714281479344,0.1292389101935811
1205466,st6,3.9002330654524067,0.2504656371967653
1205467,st6,2.8904436447882778,0.1875518892910435
1205472,st6,1.0608109472117395,0.2340418126057068
1205473,st6,2.8931059212646604,0.2651645667399787
1205474,st6,3.9915023047184555,0.2932511716331599
1205504,st6,1.3175156428924946,0.3254970120837802
1205505,st6,2.7810306394333772,0.4098272838276819
1205509,st6,1.3612329209304397,0.3060598039866873
1205510,st6,2.1866503690035883,0.253596398611467
1205511,st6,3.3064675957237015,0.2624103472474226
1205515,st6,1.5304414784223623,0.223750447734248
1205591,st6,1.787298356033348,0.2805477435690107
1205614,st6,2.6970246902523263,0.2914612721616119
1205615,st6,3.2660816029049897,0.3020354900157538
1205619,st6,2.270511618601918,0.2872565866838447
1205620,st6,1.4972196445263288,0.1968130715941366
1205621,st6,4.290178414851417,0.2580507732590782
1205624,st6,2.832590704573577,0.3059521957624694
1205625,st6,1.3023771264597177,0.1821656743205206
1205626,st6,1.4157529012039842,0.1153394938261522
1205627,st6,4.594853442643066,0.1678201854220046
1205631,st6,2.4651539632647568,0.2400981184794291
1205632,st6,3.4503880601156744,0.2681786768047874
1205636,st6,3.940058120423869,0.1639134019511748
1205637,st6,3.8410621071700617,0.1081229133318951
1205642,st6,3.4224574737312983,0.178361345969317
1205643,st6,2.9463978943500986,0.1850354094598827
1205644,st6,2.1505412681048717,0.1518386748120631
1205645,st6,3.7725798671190143,0.1264742891849503
1205650,st6,1.6803991930885083,0.0894516567889031
1205651,st6,3.88002930920627,0.0708746497152418
1205655,st6,1.6828690934657702,0.1106730508114698
1205656,st6,2.41090817067998,0.1658665368300772
1205657,st6,2.1510323396677284,0.1858410188453449
1205660,st6,2.6172396710514674,0.2473800586159069
1205661,st6,3.0348205206643475,0.1724666030961119
