,stage,Strain (\%),SOK2-YFP Intensity
857720,st4-2,0.7124823775007301,0.1142675059452011
857725,st4-2,0.5517993658354683,0.1407202699214241
857726,st4-2,0.853964998723741,0.1861087547766666
857731,st4-2,1.519053741567124,0.1509315257753578
857732,st4-2,2.8851821055939415,0.2044038289565857
857746,st4-2,2.220902696109759,0.173941488421582
857747,st4-2,1.0009345266990726,0.2061139076653021
857749,st4-2,1.7187519554307868,0.2280342685364973
857750,st4-2,0.816352429949107,0.2074346546398897
857751,st4-2,1.8597941485142524,0.1845129480528477
857756,st4-2,3.276188675274019,0.2819633098310475
857757,st4-2,1.1597866172255362,0.1864406085585047
857761,st4-2,1.3386479624895107,0.2512130410287491
857762,st4-2,2.6048517882363003,0.308935600361571
857763,st4-2,1.6521042085459785,0.2892059765615372
857769,st4-2,2.6120039489428626,0.2316202177912505
857782,st4-2,1.0552302196589929,0.3515998258165552
857783,st4-2,3.1650210759417394,0.3995118311438495
857788,st4-2,1.0870325866573962,0.2976489883930822
857795,st4-2,1.5982226539172375,0.2026098996556278
857796,st4-2,1.607548316731142,0.243183366113108
857798,st4-2,1.3665343869127222,0.3257352790868508
857799,st4-2,1.3185353126542654,0.3228044240009033
857800,st4-2,4.016000423197998,0.3655315084627
857801,st4-2,2.9583583855987934,0.2840201828972074
857812,st4-2,2.8053161403511053,0.3382442172387646
857813,st4-2,2.7877829312045397,0.3426609156904255
857818,st4-2,0.9713174740987636,0.2577804889798012
857819,st4-2,1.0173282800454877,0.2640572983804339
857820,st4-2,3.7959802732976096,0.3244248380464674
857821,st4-2,1.3282018802855668,0.2377463128793754
857826,st4-2,1.2715055292222979,0.2528638307672942
857827,st4-2,1.3301812243386235,0.2825056445802259
857839,st4-2,1.0730250080403103,0.2052857627977302
857840,st4-2,3.3409578471519636,0.3284502800415515
857844,st4-2,0.9028730343974731,0.1822708818345153
857845,st4-2,3.9917817749029174,0.3277974100813534
857846,st4-2,3.454188256955617,0.3047354266616772
857850,st4-2,0.744441959334011,0.1561132568593339
857851,st4-2,0.9405253378694434,0.2102824205717732
857859,st4-2,3.3567447655704234,0.1562541737021258
857860,st4-2,2.7575745384578196,0.1956292101310196
857869,st4-2,2.805934250625607,0.1512332886855001
857870,st4-2,2.470745058508954,0.0804537277943336
857875,st4-2,1.1462270340890364,0.1107865460460168
857876,st4-2,1.1649600684826709,0.1499754691157476
857880,st4-2,1.2110908712728545,0.0321111568702213
857881,st4-2,1.210580471781745,0.0760468494235801
857882,st4-2,0.2688144331895102,0.1233644831550158
857883,st4-2,0.2713963891648161,0.0927992847752801
1061631,st5-2,0.9364601667888991,0.0135584628452865
1061632,st5-2,0.9346818384993846,0.0094475071828856
1061636,st5-2,2.0778699338528175,0.0587185226241515
1061664,st5-2,0.7561593379177225,0.0198736115298656
1061665,st5-2,1.0261946033206784,0.0021519538084593
1061671,st5-2,0.7562917023104255,0.0726187390666131
1061682,st5-2,0.4546276388283461,0.0944026289820133
1061683,st5-2,1.80393964000156,0.1086203164333775
1061688,st5-2,3.7319502735266505,0.198582346696289
1061689,st5-2,0.5315455428159154,0.1548432640237572
1061690,st5-2,0.4519059207656613,0.1106554504332096
1061691,st5-2,0.5085314438426536,0.1009822168140471
1061695,st5-2,0.8896879856022335,0.1777299283608452
1061703,st5-2,1.0305620616822018,0.2256087539301307
1061704,st5-2,2.944521731199215,0.2411032367557544
1061708,st5-2,3.647740377923342,0.3426471487533431
1061709,st5-2,1.098509514891447,0.2319423918337604
1061710,st5-2,0.9040742891232488,0.1837035149903037
1061711,st5-2,2.627047884966088,0.2243163124724558
1061716,st5-2,2.164752501581705,0.2214305182201638
1061724,st5-2,2.2383572685201307,0.2608868217193784
1061725,st5-2,2.236867221330675,0.2017276295433278
1061729,st5-2,1.3166393107665393,0.3065669050706802
1061736,st5-2,3.0421360460000697,0.3836897759477564
1061737,st5-2,2.9184978055273505,0.2976026921445682
1061740,st5-2,1.5907159964132993,0.3011197196957596
1061741,st5-2,1.675132062169381,0.2484208319738987
1061742,st5-2,2.5829235645032886,0.2503896215773096
1061743,st5-2,2.916812480719529,0.2046723613524082
1061746,st5-2,1.648915325475125,0.2726689781175311
1061759,st5-2,2.9298187316967024,0.3617490444069024
1061760,st5-2,3.1783483106952706,0.3363277491089181
1061764,st5-2,2.2045709147691017,0.3153246814156624
1061765,st5-2,1.7388256858564055,0.2973312598360964
1061766,st5-2,3.768919116463265,0.1703200651665058
1061767,st5-2,2.2603431676604315,0.1461682464372364
1061770,st5-2,2.299985920418955,0.2915054592358151
1061771,st5-2,2.291532655462093,0.2511209004670457
1061772,st5-2,3.6606693701659436,0.269243318393275
1061793,st5-2,1.6019229558597061,0.1588929126761152
1061794,st5-2,1.616578024257458,0.1280427250503532
1061799,st5-2,4.382380173138236,0.2547275673843227
1061809,st5-2,1.6634598472174351,0.2783504857950407
1061810,st5-2,1.4488022229200352,0.2707502902634591
1061813,st5-2,1.9505054084036153,0.3122119025754646
1061814,st5-2,1.7383855815269391,0.2368490493789899
1061815,st5-2,1.72041706320907,0.2961400547351062
1061816,st5-2,3.509502801802363,0.2997504453808165
1061817,st5-2,2.4167864421501526,0.2815511824633521
1061818,st5-2,2.0738941979578254,0.2231515850495511
1061834,st5-2,2.257941847637916,0.3391247049965198
1061835,st5-2,1.4555340909408685,0.1543636047897054
1061849,st5-2,1.538379947949599,0.3159734707619462
1061850,st5-2,1.9053846969843131,0.1920938242072124
1061854,st5-2,1.0198449389300952,0.1587542475181825
1061855,st5-2,1.3412165460366599,0.1870734169947111
1061856,st5-2,1.3835158572970414,0.2439117275438039
1061857,st5-2,3.1971390067248278,0.3770324788474758
1061858,st5-2,1.8977847343928964,0.1811482393407628
1061859,st5-2,1.7450896066410875,0.1528220115529967
1061863,st5-2,1.7319968382691966,0.1556122386707674
1061870,st5-2,3.443691542001471,0.0670251824815626
1061871,st5-2,2.158443413304643,0.1234967888033217
1061883,st5-2,1.6283426980463385,0.1607129639415297
1061884,st5-2,0.1927941750788247,0.1139852592833885
1061887,st5-2,0.7935142584107661,0.0849408165184794
1061888,st5-2,1.2461110738149306,0.1165513483753628
1061894,st5-2,1.9913626115036978,0.0380268728705853
1061895,st5-2,1.9930903672277047,0.0539027328946847
1061896,st5-2,0.6613170942271993,0.0652953661819122
1061900,st5-2,0.953326609479342,0.0187458609706356
1061901,st5-2,0.709148565293717,0.0355864801665925
1061902,st5-2,0.9480565796966887,0.0580298855919092
1061903,st5-2,1.0553475758043547,0.0890511690786784
1061904,st5-2,-0.5262537061953543,0.0770729616524624
1205410,st6,0.9431752313025861,0.0222222213379815
1205415,st6,0.5485951504810946,0.0623201328032834
1205416,st6,0.7879139524247857,0.0091304380856358
1205448,st6,0.1134514607724916,0.1496452560616285
1205449,st6,1.5995125084878727,0.1314985945344974
1205452,st6,0.1690210944608531,0.1179297832157594
1205453,st6,0.17107203274173347,0.1788203855041452
1205456,st6,0.028307953981442643,0.1568698911425588
1205457,st6,1.1747714281479344,0.1292389101935811
1205458,st6,2.50423439863079,0.2325322964213041
1205459,st6,2.2408565892927736,0.2308970668761473
1205465,st6,1.9849556136316053,0.1559636895168427
1205466,st6,3.9002330654524067,0.2504656371967653
1205467,st6,2.8904436447882778,0.1875518892910435
1205472,st6,1.0608109472117395,0.2340418126057068
1205473,st6,2.8931059212646604,0.2651645667399787
1205474,st6,3.9915023047184555,0.2932511716331599
1205483,st6,1.888666385386081,0.3360506261640868
1205484,st6,2.230548938170253,0.3196007963068095
1205488,st6,0.8808766065401566,0.312476228114534
1205496,st6,1.1169112571215196,0.3720923099095886
1205497,st6,3.35353847310592,0.4227351092854847
1205502,st6,1.335252190461681,0.308330257254655
