,stage,Strain (\%),SOK2-YFP Intensity
857725,st4-2,0.5517993658354683,0.1407202699214241
857726,st4-2,0.853964998723741,0.1861087547766666
857731,st4-2,1.519053741567124,0.1509315257753578
857732,st4-2,2.8851821055939415,0.2044038289565857
857762,st4-2,2.6048517882363003,0.308935600361571
857763,st4-2,1.6521042085459785,0.2892059765615372
857769,st4-2,2.6120039489428626,0.2316202177912505
857775,st4-2,2.681091261739911,0.2382436932190124
857776,st4-2,2.6657413152629683,0.339442466643986
857782,st4-2,1.0552302196589929,0.3515998258165552
857783,st4-2,3.1650210759417394,0.3995118311438495
857788,st4-2,1.0870325866573962,0.2976489883930822
857806,st4-2,3.133605185606614,0.2353949465995079
857812,st4-2,2.8053161403511053,0.3382442172387646
857813,st4-2,2.7877829312045397,0.3426609156904255
857818,st4-2,0.9713174740987636,0.2577804889798012
857819,st4-2,1.0173282800454877,0.2640572983804339
857833,st4-2,2.6695949422506877,0.2461085853955854
857839,st4-2,1.0730250080403103,0.2052857627977302
857840,st4-2,3.3409578471519636,0.3284502800415515
857844,st4-2,0.9028730343974731,0.1822708818345153
857859,st4-2,3.3567447655704234,0.1562541737021258
857860,st4-2,2.7575745384578196,0.1956292101310196
1061631,st5-2,0.9364601667888991,0.0135584628452865
1061632,st5-2,0.9346818384993846,0.0094475071828856
1061636,st5-2,2.0778699338528175,0.0587185226241515
1061647,st5-2,2.0873868817682526,0.2698016692938248
1061653,st5-2,2.5014535308326225,0.2695680935228572
1061654,st5-2,2.501158050309079,0.2720277565267767
1061663,st5-2,2.500973924097093,0.3393272314038789
1061672,st5-2,2.7060155851159227,0.2333208536890362
1061673,st5-2,2.703836023833634,0.1766013298100248
1061676,st5-2,3.478823364769908,0.1339259440842185
1061677,st5-2,3.4251620453144844,0.1762079572575271
1061681,st5-2,2.6993734028418137,0.2611779852961753
1061682,st5-2,0.4546276388283461,0.0944026289820133
1061683,st5-2,1.80393964000156,0.1086203164333775
1061688,st5-2,3.7319502735266505,0.198582346696289
1061689,st5-2,0.5315455428159154,0.1548432640237572
1061703,st5-2,1.0305620616822018,0.2256087539301307
1061704,st5-2,2.944521731199215,0.2411032367557544
1061708,st5-2,3.647740377923342,0.3426471487533431
1061709,st5-2,1.098509514891447,0.2319423918337604
1061736,st5-2,3.0421360460000697,0.3836897759477564
1061737,st5-2,2.9184978055273505,0.2976026921445682
1061740,st5-2,1.5907159964132993,0.3011197196957596
1061741,st5-2,1.675132062169381,0.2484208319738987
1061759,st5-2,2.9298187316967024,0.3617490444069024
1061760,st5-2,3.1783483106952706,0.3363277491089181
1061764,st5-2,2.2045709147691017,0.3153246814156624
1061765,st5-2,1.7388256858564055,0.2973312598360964
1061800,st5-2,1.0616953868462395,0.2209274775166828
1061801,st5-2,1.2680815286457325,0.24297712007174
1061807,st5-2,2.828633856811084,0.2344725339467571
1061808,st5-2,2.846639719567588,0.2540573400662071
1061809,st5-2,1.6634598472174351,0.2783504857950407
1061810,st5-2,1.4488022229200352,0.2707502902634591
1061813,st5-2,1.9505054084036153,0.3122119025754646
1061814,st5-2,1.7383855815269391,0.2368490493789899
1061815,st5-2,1.72041706320907,0.2961400547351062
1061816,st5-2,3.509502801802363,0.2997504453808165
1061840,st5-2,2.8721686593640783,0.1775329041616321
1061841,st5-2,2.8869313631731073,0.2510752911868097
1061849,st5-2,1.538379947949599,0.3159734707619462
1061850,st5-2,1.9053846969843131,0.1920938242072124
1061854,st5-2,1.0198449389300952,0.1587542475181825
1061855,st5-2,1.3412165460366599,0.1870734169947111
1061856,st5-2,1.3835158572970414,0.2439117275438039
1061857,st5-2,3.1971390067248278,0.3770324788474758
1061870,st5-2,3.443691542001471,0.0670251824815626
1061871,st5-2,2.158443413304643,0.1234967888033217
1061894,st5-2,1.9913626115036978,0.0380268728705853
1061895,st5-2,1.9930903672277047,0.0539027328946847
1061896,st5-2,0.6613170942271993,0.0652953661819122
1205410,st6,0.9431752313025861,0.0222222213379815
1205444,st6,1.954436417616925,0.0882958056677145
1205448,st6,0.1134514607724916,0.1496452560616285
1205449,st6,1.5995125084878727,0.1314985945344974
1205458,st6,2.50423439863079,0.2325322964213041
1205459,st6,2.2408565892927736,0.2308970668761473
1205465,st6,1.9849556136316053,0.1559636895168427
1205475,st6,2.645237316351961,0.1717641717187442
1205476,st6,2.5548265481155252,0.2225606787938029
1205483,st6,1.888666385386081,0.3360506261640868
1205484,st6,2.230548938170253,0.3196007963068095
1205488,st6,0.8808766065401566,0.312476228114534
1205489,st6,1.5920694179240178,0.3418872107446179
1205490,st6,2.156374972990597,0.3025347434677075
1205495,st6,1.491120733187015,0.2822397055014847
1205496,st6,1.1169112571215196,0.3720923099095886
1205497,st6,3.35353847310592,0.4227351092854847
1205502,st6,1.335252190461681,0.308330257254655
1205503,st6,1.4849850383544216,0.3376345388126448
1205516,st6,1.8409614818573214,0.2360566413952009
1205517,st6,1.852099343650844,0.2774701009718441
1205522,st6,3.2211471081512113,0.2140890527224047
1205523,st6,2.087852916955147,0.3352656308726658
1205524,st6,3.1309505583832267,0.4132984262493189
1205530,st6,0.7232876721208547,0.2153750686700329
1205531,st6,2.352313149992396,0.2230880363831506
1205532,st6,2.3368137424789213,0.2964024293947877
1205538,st6,2.4969116204943766,0.2137654197819511
1205539,st6,2.4772865296339885,0.2393914643304192
1205540,st6,2.650930331959879,0.2177611792503292
1205541,st6,2.663197444345548,0.2803067021161049
1205555,st6,2.5874112043118123,0.2964734943832355
1205556,st6,2.593517716598611,0.3101405156125964
1205560,st6,2.994964361696522,0.234560585021985
1205561,st6,3.0251566144218525,0.1964738556249379
1205563,st6,2.5812978173594154,0.2080336199538344
1205564,st6,2.1929465008848514,0.2498127715847754
1205565,st6,2.5954170110881236,0.3153183312091263
1205569,st6,0.8933914483687935,0.2166325107005127
1205570,st6,1.6286012018533684,0.3422475333037426
1205571,st6,1.5955357047764227,0.2836980138463399
1205574,st6,2.2274246913217453,0.4380920681784105
1205575,st6,2.149865967859182,0.3410493407767061
1205580,st6,1.4296113365809768,0.3546874786027145
1205581,st6,2.0876659184528954,0.4108536465997408
1205585,st6,1.87546391945936,0.2778152518218636
1205586,st6,2.34092451044349,0.4474649707558072
1205589,st6,2.699422637232843,0.2755010152047574
