Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
14080,V,,,0.99386,-0.110646,0,0.110646,0.99386,0,6.47603,2.88916,0
4224,G,L,CE,-0.0401954,0.999192,0,0.999192,0.0401954,0,32.25,6.47394,0
28224,G,U,E,0.262293,0.964988,0,0.964988,-0.262293,0,4.44456,1.13187,0
4768,G,L,CE,-0.156166,0.987731,0,0.987731,0.156166,0,21.6432,4.80107,0
24720,V,,,0.343305,0.939224,0,0.939224,-0.343305,0,3.15534,2.12185,0
4496,V,,,0.865793,0.500402,0,-0.500402,0.865793,0,16.5268,2.77481,0
7248,G,L,V,-0.494321,0.86928,0,0.86928,0.494321,0,8.8419,3.35629,0
22704,V,,,0.991382,0.131005,0,-0.131005,0.991382,0,0.542261,0.459509,0
31272,G,L,CE,-0.135918,0.99072,0,0.99072,0.135918,0,21.5687,4.27244,0
12200,G,U,CE,0.776819,0.629724,0,-0.629724,0.776819,0,14.6841,9.52495,0
7016,G,L,V,0.160771,0.986992,0,0.986992,-0.160771,0,19.2252,9.02452,0
22808,G,U,CE,0.340181,0.94036,0,0.94036,-0.340181,0,40.1697,27.7189,0
19864,V,,,0.800963,0.598713,0,-0.598713,0.800963,0,0.793022,0.368431,0
19160,V,,,0.913435,0.406984,0,-0.406984,0.913435,0,0.932842,0.558628,0
26628,V,,,0.780288,-0.62542,0,0.62542,0.780288,0,3.63486,1.12169,0
2628,V,,,-0.513991,0.857795,0,0.857795,0.513991,0,1.02836,0.74756,0
23844,G,L,E,-0.424322,0.905511,0,0.905511,0.424322,0,3.9819,0.634534,0
6948,G,U,E,0.148971,0.988842,0,0.988842,-0.148971,0,12.9602,2.05428,0
5924,V,,,0.962644,0.270769,0,-0.270769,0.962644,0,2.63976,2.07852,0
16036,G,L,CE,0.609834,0.792529,0,0.792529,-0.609834,0,7.07221,4.11212,0
22436,G,L,CE,0.164768,0.986332,0,0.986332,-0.164768,0,36.0644,6.93446,0
21476,G,U,CE,-0.0170387,0.999855,0,0.999855,0.0170387,0,10.8001,7.43282,0
3476,G,U,CE,-0.102034,0.994781,0,0.994781,0.102034,0,4.80191,1.77003,0
30292,G,U,V,0.0816815,0.996659,0,0.996659,-0.0816815,0,9.03516,6.66897,0
22868,V,,,0.701625,0.712547,0,0.712547,-0.701625,0,21.0673,2.64636,0
15572,G,L,CE,0.0965398,0.995329,0,0.995329,-0.0965398,0,37.4551,21.7172,0
27604,G,L,E,-0.442543,0.896747,0,0.896747,0.442543,0,0.954859,0.503514,0
11572,G,L,CE,-0.0737048,0.99728,0,0.99728,0.0737048,0,8.97549,2.6152,0
7860,G,U,V,-0.146536,0.989205,0,0.989205,0.146536,0,5.01649,3.22019,0
6772,V,,,0.966125,-0.258074,0,0.258074,0.966125,0,0.518133,0.257375,0
10740,V,,,0.738727,0.674005,0,-0.674005,0.738727,0,3.78431,1.49845,0
28940,G,U,V,0.0359821,0.999352,0,0.999352,-0.0359821,0,9.8253,5.34384,0
25804,G,U,E,-0.137761,0.990466,0,0.990466,0.137761,0,0.687717,0.117574,0
24108,G,U,CE,0.366772,0.930311,0,0.930311,-0.366772,0,32.032,23.2654,0
14188,G,L,V,0.703637,0.710559,0,0.710559,-0.703637,0,5.94424,3.46385,0
13036,V,,,0.785942,-0.6183,0,0.6183,0.785942,0,4.48899,1.90825,0
19948,G,U,V,0.643689,0.765287,0,0.765287,-0.643689,0,17.5178,6.03031,0
12316,V,,,0.865149,0.501515,0,-0.501515,0.865149,0,3.945,0.776834,0
19996,G,U,CE,0.294796,0.95556,0,0.95556,-0.294796,0,32.4813,8.04028,0
23772,V,,,0.368982,0.929436,0,0.929436,-0.368982,0,5.67154,2.21633,0
26332,V,,,0.999755,-0.0221484,0,0.0221484,0.999755,0,1.33271,0.724886,0
11996,G,L,V,-0.61304,0.790052,0,0.790052,0.61304,0,14.4457,2.4106,0
25276,G,L,E,-0.0705006,0.997512,0,0.997512,0.0705006,0,1.9677,0.320327,0
16706,G,L,V,-0.290547,0.956861,0,0.956861,0.290547,0,10.7476,7.62688,0
6594,G,U,E,0.715596,0.698514,0,-0.698514,0.715596,0,6.31988,0.994089,0
31682,G,L,V,0.358226,0.933635,0,0.933635,-0.358226,0,15.0793,4.25511,0
11282,G,L,E,0.288014,0.957626,0,0.957626,-0.288014,0,4.94874,1.20184,0
