Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
15936,G,U,E,0.577606,0.816316,0,0.816316,-0.577606,0,30.4294,11.016,0
4320,A,C,,0.996065,0.0886284,0,-0.0886284,0.996065,0,3.07943,0.682934,0
10256,G,U,CE,0.118023,0.993011,0,0.993011,-0.118023,0,50.8541,17.4305,0
17232,G,U,V,0.107492,0.994206,0,0.994206,-0.107492,0,13.9143,5.80023,0
20784,A,L,,0.941899,-0.335896,0,0.335896,0.941899,0,9.24167,4.72834,0
4784,G,L,CE,-0.306056,0.952014,0,0.952014,0.306056,0,83.6047,15.8632,0
25712,G,L,CE,-0.236808,0.971557,0,0.971557,0.236808,0,100.875,82.9431,0
22152,G,L,E,0.0309956,0.99952,0,0.99952,-0.0309956,0,7.53211,1.04762,0
10280,G,L,V,0.689643,0.724149,0,0.724149,-0.689643,0,9.54205,4.06145,0
19368,G,U,E,0.293151,0.956066,0,0.956066,-0.293151,0,3.31595,0.333501,0
13848,G,L,E,-0.301911,0.953336,0,0.953336,0.301911,0,10.3992,1.48595,0
2744,G,U,V,-0.148867,0.988857,0,0.988857,0.148867,0,12.0209,5.83839,0
6404,G,L,V,-0.078513,0.996913,0,0.996913,0.078513,0,47.722,14.0097,0
3652,G,L,E,-0.204841,0.978795,0,0.978795,0.204841,0,2.65901,0.741897,0
3524,G,U,E,0.0810349,0.996711,0,0.996711,-0.0810349,0,1.35097,0.416537,0
27588,G,U,E,0.369532,0.929218,0,0.929218,-0.369532,0,8.66379,0.935396,0
22692,G,L,E,-0.466788,0.884369,0,0.884369,0.466788,0,61.0998,8.33039,0
26276,V,L,,-0.358055,0.933701,0,0.933701,0.358055,0,7.08963,2.81688,0
4052,G,U,V,-0.0274135,0.999624,0,0.999624,0.0274135,0,11.7238,5.49934,0
6580,A,L,,0.999995,0.0031808,0,-0.0031808,0.999995,0,2.16183,1.61211,0
27636,G,L,E,-0.3181,0.948057,0,0.948057,0.3181,0,19.4121,0.689497,0
9228,,,,1,0,0,0,1,0,0,0,0
5388,G,U,CE,0.421853,0.906664,0,0.906664,-0.421853,0,31.5775,4.23799,0
17036,,,,0.280521,0.959848,0,0.959848,-0.280521,0,10.6542,1.16228,0
21068,V,U,,0.389488,0.921031,0,0.921031,-0.389488,0,3.86879,2.56037,0
4556,V,L,,0.928543,0.371224,0,-0.371224,0.928543,0,3.87525,1.47024,0
1180,,,,-0.64879,0.760968,0,0.760968,0.64879,0,6.8252,0.972533,0
3804,G,L,E,-0.438196,0.89888,0,0.89888,0.438196,0,35.4635,8.61887,0
