Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
9216,V,,,-0.0684714,0.997653,0,0.997653,0.0684714,0,0.859236,0.684213,0
7936,V,,,0.245853,0.969307,0,0.969307,-0.245853,0,0.7275,0.57829,0
20256,V,,,0.965429,0.260667,0,-0.260667,0.965429,0,0.834104,0.361746,0
7136,G,L,V,0.439192,0.898393,0,0.898393,-0.439192,0,4.13808,3.04367,0
16784,G,L,CE,-0.455189,0.890395,0,0.890395,0.455189,0,5.85669,2.43204,0
7568,G,U,V,0.739387,-0.673281,0,0.673281,0.739387,0,1.77824,1.22258,0
24144,V,,,1,0,0,0,1,0,0,0,0
8400,G,L,CE,-0.507156,0.861854,0,0.861854,0.507156,0,16.8584,5.3004,0
19312,G,U,V,-0.342679,0.939452,0,0.939452,0.342679,0,4.62803,1.25282,0
5512,G,U,E,0.28096,0.959719,0,0.959719,-0.28096,0,5.29943,0.998909,0
7464,V,,,0.803174,0.595744,0,-0.595744,0.803174,0,2.80894,1.19884,0
5656,V,,,0.131173,0.991359,0,0.991359,-0.131173,0,1.2519,0.758868,0
10008,V,,,1,0,0,0,1,0,0,0,0
23384,G,L,CE,-0.0925246,0.99571,0,0.99571,0.0925246,0,6.64484,1.15252,0
11224,G,U,CE,-0.00366629,0.999993,0,0.999993,0.00366629,0,2.63023,1.76496,0
14904,V,,,-0.609296,0.792943,0,0.792943,0.609296,0,1.68223,1.42015,0
7652,G,U,CE,0.260076,0.965588,0,0.965588,-0.260076,0,2.42872,1.50657,0
19252,V,,,0.999957,-0.00931795,0,0.00931795,0.999957,0,2.747,1.28061,0
13388,G,L,V,0.93319,0.359383,0,-0.359383,0.93319,0,2.43416,1.96181,0
15820,V,,,0.998361,-0.0572285,0,0.0572285,0.998361,0,0.727528,0.637136,0
24412,G,L,CE,-0.231947,0.972728,0,0.972728,0.231947,0,7.25742,1.51743,0
26300,G,U,E,0.101539,0.994832,0,0.994832,-0.101539,0,3.89722,1.28942,0
27068,G,L,V,0.941561,0.336844,0,-0.336844,0.941561,0,2.57264,0.823482,0
20220,G,L,CE,-0.401197,0.915992,0,0.915992,0.401197,0,11.1467,1.69381,0
24834,V,,,0.808261,0.588825,0,-0.588825,0.808261,0,1.3224,0.269728,0
9234,G,L,V,0.868076,0.496432,0,-0.496432,0.868076,0,5.78575,2.6822,0
21522,V,,,0.997913,-0.06458,0,0.06458,0.997913,0,0.65462,0.348134,0
8242,G,L,CE,-0.118745,0.992925,0,0.992925,0.118745,0,9.26618,1.2544,0
8754,G,U,CE,-0.0343714,0.999409,0,0.999409,0.0343714,0,5.30708,2.34012,0
20402,V,,,1,0,0,0,1,0,0,0,0
7498,V,,,0.973994,-0.226576,0,0.226576,0.973994,0,0.672908,0.288813,0
7338,V,,,0.965377,0.260858,0,-0.260858,0.965377,0,0.750031,0.339806,0
12266,G,U,L,-0.102802,0.994702,0,0.994702,0.102802,0,4.77589,0.670131,0
9658,V,,,0.983562,-0.180573,0,0.180573,0.983562,0,1.50424,0.893705,0
30470,V,,,0.995985,0.0895196,0,-0.0895196,0.995985,0,0.539276,0.202609,0
20518,V,,,0.950502,-0.310719,0,0.310719,0.950502,0,1.08501,0.243645,0
12438,G,U,E,0.135735,0.990745,0,0.990745,-0.135735,0,1.39906,0.216917,0
20598,V,,,0.95834,0.285631,0,-0.285631,0.95834,0,6.86178,0.230193,0
19318,V,,,-0.141524,0.989935,0,0.989935,0.141524,0,1.76341,0.645622,0
78,G,U,CE,0.00401099,0.999992,0,0.999992,-0.00401099,0,2.68684,1.46797,0
26574,V,,,0.384756,0.923018,0,0.923018,-0.384756,0,1.43531,0.488817,0
24558,V,,,0.992979,0.11829,0,-0.11829,0.992979,0,1.89269,0.770285,0
2494,V,,,-0.588391,0.808577,0,0.808577,0.588391,0,1.16849,1.01066,0
11902,V,,,0.931331,-0.364173,0,0.364173,0.931331,0,0.591796,0.418209,0
32803,G,L,V,0.965947,-0.25874,0,0.25874,0.965947,0,4.50052,2.68066,0
