Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
7936,V,L,,0.793442,-0.608646,0,0.608646,0.793442,0,2.68266,1.73432,0
5320,,,,0.999621,0.0275265,0,-0.0275265,0.999621,0,1.81815,0.507305,0
7080,G,U,V,0.877388,-0.479781,0,0.479781,0.877388,0,12.2122,2.33996,0
4056,,,,0.943019,-0.33274,0,0.33274,0.943019,0,0.0816687,0.0604418,0
2340,,,,-0.0597859,0.998211,0,0.998211,0.0597859,0,5.39675,2.01387,0
4772,,,,0.99619,-0.0872111,0,0.0872111,0.99619,0,3.21139,1.86085,0
4564,,,,-0.0301103,0.999547,0,0.999547,0.0301103,0,4.24136,3.47042,0
3148,V,U,,0.174638,0.984633,0,0.984633,-0.174638,0,27.5904,7.89192,0
2284,,,,0.981723,0.190314,0,-0.190314,0.981723,0,1.99326,0.969845,0
11036,,,,0.960392,-0.278653,0,0.278653,0.960392,0,0.437157,0.187878,0
32482,,,,-0.700497,0.713655,0,0.713655,0.700497,0,0.880988,0.184955,0
5266,V,C,,0.479647,0.877461,0,0.877461,-0.479647,0,12.4325,6.32327,0
15762,,,,0.930123,-0.367248,0,0.367248,0.930123,0,1.94445,1.55241,0
5746,,,,0.541628,0.840618,0,0.840618,-0.541628,0,2.32104,0.583481,0
6386,,,,-0.593413,0.804898,0,0.804898,0.593413,0,6.11139,2.00342,0
2666,,,,0.0170623,0.999854,0,0.999854,-0.0170623,0,6.52311,2.05354,0
6406,,,,-0.226313,0.974055,0,0.974055,0.226313,0,2.36681,0.494933,0
5574,,,,0.595865,0.803084,0,0.803084,-0.595865,0,0.0811997,0.0598651,0
1878,,,,0.998946,0.0459045,0,-0.0459045,0.998946,0,0.0870129,0.0570547,0
214,,,,0.76022,0.649666,0,-0.649666,0.76022,0,0.0379626,0.0296544,0
13046,,,,0.753431,-0.657527,0,0.657527,0.753431,0,0.0432231,0.0331221,0
13134,,,,-0.320987,0.947084,0,0.947084,0.320987,0,10.9211,1.84709,0
25710,,,,0.808346,0.588708,0,-0.588708,0.808346,0,0.0953541,0.0650305,0
6142,,,,0.91081,-0.412826,0,0.412826,0.91081,0,0.136234,0.0844347,0
33321,V,C,,-0.115479,0.99331,0,0.99331,0.115479,0,9.30444,3.85942,0
34649,,,,0.777477,0.628911,0,-0.628911,0.777477,0,3.24533,2.41599,0
38005,A,C,,0.924773,0.380519,0,-0.380519,0.924773,0,4.47364,2.80662,0
46659,V,L,,0.340587,0.940213,0,0.940213,-0.340587,0,20.4408,7.21222,0
50695,,,,0.412212,0.911088,0,0.911088,-0.412212,0,2.38706,0.997604,0
33191,,,,0.944922,-0.327296,0,0.327296,0.944922,0,2.57283,1.57828,0
