Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
24800,,,,0.422009,0.906592,0,0.906592,-0.422009,0,29.3986,10.7742,0
9688,V,L,,-0.557107,0.830441,0,0.830441,0.557107,0,0.321471,0.15269,0
3492,G,L,,0.878274,0.478157,0,-0.478157,0.878274,0,5.17936,3.10685,0
10324,G,U,,0.132281,0.991212,0,0.991212,-0.132281,0,9.81445,5.22218,0
20492,G,L,,-0.149501,0.988762,0,0.988762,0.149501,0,23.5541,8.71984,0
2204,G,U,,0.252983,0.967471,0,0.967471,-0.252983,0,47.0437,17.8494,0
21522,G,U,,0.336836,0.941563,0,0.941563,-0.336836,0,50.4566,10.3475,0
14954,V,L,,0.958757,-0.284227,0,0.284227,0.958757,0,0.699327,0.355311,0
2922,V,U,,-0.488993,0.872288,0,0.872288,0.488993,0,5.88915,5.05518,0
3194,V,L,,-0.627275,0.778798,0,0.778798,0.627275,0,1.49325,0.83499,0
3862,V,U,,0.826645,0.562724,0,-0.562724,0.826645,0,0.717484,0.3928,0
24014,V,U,,-0.294758,0.955572,0,0.955572,0.294758,0,2.75424,1.0851,0
9198,V,U,,0.0118369,0.99993,0,0.99993,-0.0118369,0,0.485428,0.265676,0
47045,G,L,,-0.111927,0.993716,0,0.993716,0.111927,0,34.3837,13.533,0
42759,V,L,,0.991061,-0.133413,0,0.133413,0.991061,0,1.30392,0.377965,0
35143,G,U,,-0.28417,0.958774,0,0.958774,0.28417,0,31.5781,9.30402,0
