Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
20224,G,L,E,0.0217359,0.999764,0,0.999764,-0.0217359,0,0.221125,0.110537,0
21280,V,U,,-0.0748969,0.997191,0,0.997191,0.0748969,0,2.21707,0.415518,0
2192,A,C,,0.892556,0.450937,0,-0.450937,0.892556,0,0.776737,0.471305,0
2352,V,U,,0.948547,-0.316637,0,0.316637,0.948547,0,0.933523,0.78295,0
10632,G,L,CE,0.643658,0.765313,0,0.765313,-0.643658,0,0.888324,0.625284,0
15000,,,,0.880351,0.474323,0,-0.474323,0.880351,0,0.540855,0.296185,0
23224,V,L,,-0.302402,0.95318,0,0.95318,0.302402,0,1.25348,0.864495,0
23032,V,U,,0.355209,0.934787,0,0.934787,-0.355209,0,3.83457,0.392834,0
4372,A,C,,0.99854,0.0540188,0,-0.0540188,0.99854,0,1.23141,0.329028,0
3188,G,L,V,-0.432918,0.901433,0,0.901433,0.432918,0,0.911009,0.349862,0
4852,,,,0.371857,0.92829,0,0.92829,-0.371857,0,2.23774,0.588866,0
24588,G,U,CE,0.527246,0.849713,0,0.849713,-0.527246,0,0.620686,0.197695,0
25484,G,U,E,0.999316,0.0369851,0,-0.0369851,0.999316,0,0.135111,0.11822,0
19756,,,,-0.449043,0.89351,0,0.89351,0.449043,0,2.41067,1.609,0
5932,A,C,,0.995522,0.0945265,0,-0.0945265,0.995522,0,3.07599,0.629292,0
8252,A,C,,0.99847,-0.0552911,0,0.0552911,0.99847,0,0.645954,0.154334,0
5170,V,U,,0.903124,0.429379,0,-0.429379,0.903124,0,0.610949,0.407474,0
6706,,,,0.99214,-0.125136,0,0.125136,0.99214,0,0.400803,0.216883,0
6666,V,L,,0.36177,0.932267,0,0.932267,-0.36177,0,1.39367,0.961021,0
22010,G,L,CE,0.274245,0.96166,0,0.96166,-0.274245,0,0.272767,0.086325,0
1958,G,L,E,0.947788,0.318901,0,-0.318901,0.947788,0,2.13742,0.141037,0
19350,A,C,,0.925193,0.379497,0,-0.379497,0.925193,0,1.00367,0.346058,0
18806,G,L,V,0.439183,0.898398,0,0.898398,-0.439183,0,0.81369,0.3795,0
2718,V,U,,0.847681,0.530507,0,-0.530507,0.847681,0,0.744154,0.377397,0
4318,V,L,,0.842377,0.538889,0,-0.538889,0.842377,0,1.16145,0.644436,0
6014,,,,0.762707,-0.646744,0,0.646744,0.762707,0,0.308046,0.133335,0
33375,V,U,,0.947691,-0.319189,0,0.319189,0.947691,0,1.58383,0.936885,0
