Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
12048,G,L,V,1,0,0,0,1,0,0,0,0
7504,G,U,CE,0.891403,-0.453212,0,0.453212,0.891403,0,7.90241,0.643655,0
26064,G,L,CE,1,0,0,0,1,0,0,0,0
19632,,,,1,0,0,0,1,0,0,0,0
4848,G,L,V,0.957087,-0.289801,0,0.289801,0.957087,0,7.70001,1.95922,0
23240,V,U,,0.978429,-0.206582,0,0.206582,0.978429,0,2.73383,1.39488,0
6680,G,U,E,0.943983,-0.329994,0,0.329994,0.943983,0,15.5337,10.5114,0
9880,G,U,E,0.966915,-0.255098,0,0.255098,0.966915,0,16.8608,7.3484,0
30552,G,L,CE,0.481199,0.876612,0,0.876612,-0.481199,0,16.6058,6.69433,0
6584,G,U,E,0.99922,-0.0394955,0,0.0394955,0.99922,0,37.6328,15.4989,0
7096,G,U,E,0.845201,0.534448,0,-0.534448,0.845201,0,15.0289,6.68209,0
9348,G,L,CE,1,0,0,0,1,0,0,0,0
8580,G,U,E,0.970386,-0.241558,0,0.241558,0.970386,0,28.7839,14.6359,0
10628,,,,1,0,0,0,1,0,0,0,0
8644,G,U,E,0.751148,0.660134,0,-0.660134,0.751148,0,17.9606,10.1173,0
7588,G,L,V,0.989428,0.145027,0,-0.145027,0.989428,0,8.72781,1.85074,0
4068,V,U,,0.996394,0.0848478,0,-0.0848478,0.996394,0,3.87099,2.80095,0
5460,V,L,,1,0,0,0,1,0,0,0,0
6612,G,L,E,0.985595,0.169124,0,-0.169124,0.985595,0,15.2835,2.35176,0
15532,G,U,CE,0.998844,0.0480757,0,-0.0480757,0.998844,0,3.94976,1.95904,0
8508,G,L,E,-0.236061,0.971738,0,0.971738,0.236061,0,3.27748,1.64348,0
25468,V,U,,0.788777,-0.614679,0,0.614679,0.788777,0,23.5208,6.02978,0
2370,G,L,V,0.427533,0.904,0,0.904,-0.427533,0,5.13003,3.85786,0
5410,V,L,,0.999751,0.0223112,0,-0.0223112,0.999751,0,3.58934,0.785468,0
4322,G,L,V,0.988307,0.152476,0,-0.152476,0.988307,0,12.2925,2.68997,0
19826,G,L,CE,0.911035,0.412329,0,-0.412329,0.911035,0,7.74958,2.52327,0
17386,G,L,E,0.980886,0.194582,0,-0.194582,0.980886,0,6.06649,2.41753,0
4698,V,L,,-0.552185,0.833721,0,0.833721,0.552185,0,1.60703,1.46439,0
4282,G,L,CE,0.306213,0.951963,0,0.951963,-0.306213,0,3.00816,1.77351,0
4986,V,U,,0.838692,-0.544606,0,0.544606,0.838692,0,8.49425,5.77197,0
32634,G,U,V,0.986397,-0.164382,0,0.164382,0.986397,0,7.33464,1.98242,0
14854,G,L,CE,0.855948,0.517062,0,-0.517062,0.855948,0,2.67037,1.25366,0
19910,V,U,,0.992281,-0.124013,0,0.124013,0.992281,0,20.5404,12.7235,0
23590,G,U,CE,-0.664162,0.747588,0,0.747588,0.664162,0,4.85412,2.96493,0
31782,G,U,CE,0.737915,-0.674894,0,0.674894,0.737915,0,13.2512,3.64141,0
3958,V,L,,0.999669,0.0257083,0,-0.0257083,0.999669,0,8.88824,1.26584,0
10998,G,U,CE,0.719493,-0.694499,0,0.694499,0.719493,0,4.7393,1.35222,0
4398,V,C,,0.998803,0.0489168,0,-0.0489168,0.998803,0,2.69418,0.595542,0
8110,G,U,CE,0.905778,-0.423753,0,0.423753,0.905778,0,4.43419,0.786135,0
22382,G,U,CE,0.916392,-0.400281,0,0.400281,0.916392,0,3.95689,1.5097,0
5102,G,U,CE,0.592109,0.805858,0,0.805858,-0.592109,0,7.05029,3.87205,0
26654,G,U,V,0.958864,-0.283866,0,0.283866,0.958864,0,13.5063,4.66206,0
20766,G,U,V,0.955718,-0.294284,0,0.294284,0.955718,0,9.5756,3.16273,0
28478,G,U,E,0.999536,0.030474,0,-0.030474,0.999536,0,46.9365,22.4331,0
29822,G,U,E,0.854266,0.519836,0,-0.519836,0.854266,0,13.0082,8.29736,0
34505,V,L,,-0.63966,0.768658,0,0.768658,0.63966,0,1.22867,0.624833,0
39353,V,L,,0.99995,0.00999615,0,-0.00999615,0.99995,0,2.57015,0.604716,0
40441,G,L,CE,0.852787,0.522259,0,-0.522259,0.852787,0,6.97929,4.12825,0
35333,G,U,CE,-0.138739,0.990329,0,0.990329,0.138739,0,6.52794,1.93824,0
34917,G,L,E,0.974214,0.225626,0,-0.225626,0.974214,0,17.1766,3.51896,0
41749,G,L,CE,0.75354,0.657402,0,-0.657402,0.75354,0,10.922,3.38925,0
49973,G,L,CE,0.550621,0.834756,0,0.834756,-0.550621,0,6.93605,2.23891,0
51125,V,L,,1,0,0,0,1,0,0,0,0
38957,G,L,CE,0.0566492,0.998394,0,0.998394,-0.0566492,0,26.4439,8.38656,0
40109,G,U,E,0.952963,-0.303086,0,0.303086,0.952963,0,28.4504,22.0232,0
37789,G,L,CE,-0.205384,0.978682,0,0.978682,0.205384,0,6.9304,5.739,0
34141,,,,0.366656,0.930356,0,0.930356,-0.366656,0,9.7839,4.56292,0
43347,G,L,CE,0.288651,0.957434,0,0.957434,-0.288651,0,8.06156,3.2903,0
38107,G,L,CE,0.795129,0.606441,0,-0.606441,0.795129,0,6.68341,3.72783,0
43703,G,L,V,0.968174,0.250278,0,-0.250278,0.968174,0,7.6087,2.43322,0
50991,V,L,,0.948165,0.317778,0,-0.317778,0.948165,0,3.71176,0.509325,0
