Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
16640,G,U,E,0.900519,-0.434817,0,0.434817,0.900519,0,40.7171,7.91693,0
5888,G,U,CE,-0.687584,0.726105,0,0.726105,0.687584,0,7.61804,4.68435,0
21632,V,,,1,0,0,0,1,0,0,0,0
17792,G,L,V,0.585171,0.81091,0,0.81091,-0.585171,0,1.36589,1.08464,0
6208,V,,,0.97226,-0.233903,0,0.233903,0.97226,0,3.56742,1.52508,0
3616,G,U,CE,-0.345799,0.938309,0,0.938309,0.345799,0,4.25687,1.28173,0
7264,G,L,E,0.999992,-0.00402661,0,0.00402661,0.999992,0,73.2236,20.4354,0
7216,G,L,V,0.570819,0.821076,0,0.821076,-0.570819,0,1.37488,0.938577,0
16048,G,U,CE,-0.482992,0.875625,0,0.875625,0.482992,0,1.3875,0.946773,0
5616,G,U,CE,0.784596,-0.620008,0,0.620008,0.784596,0,1.38923,1.29251,0
4616,G,U,V,0.994274,0.10686,0,-0.10686,0.994274,0,1.58627,0.773163,0
17288,G,U,CE,0.182738,0.983162,0,0.983162,-0.182738,0,0.97685,0.736385,0
13608,G,U,E,0.937077,0.349123,0,-0.349123,0.937077,0,59.5768,18.6348,0
17640,G,L,CE,-0.135765,0.990741,0,0.990741,0.135765,0,1.18328,0.571743,0
28136,G,L,CE,-0.160184,0.987087,0,0.987087,0.160184,0,5.77893,1.91354,0
22616,G,U,V,0.918381,-0.395696,0,0.395696,0.918381,0,1.65334,0.481252,0
16600,V,,,-0.575981,0.817463,0,0.817463,0.575981,0,9.65358,3.3526,0
10232,G,U,CE,-0.342857,0.939388,0,0.939388,0.342857,0,1.55849,1.2108,0
20004,V,,,0.837156,-0.546964,0,0.546964,0.837156,0,5.94774,3.78935,0
8484,G,U,CE,-0.235693,0.971827,0,0.971827,0.235693,0,0.809315,0.461419,0
22436,G,L,V,0.741718,0.670712,0,-0.670712,0.741718,0,1.9452,1.09288,0
3556,V,,,1,0,0,0,1,0,0,0,0
18196,V,,,0.996249,-0.0865321,0,0.0865321,0.996249,0,2.1601,1.34838,0
20052,G,L,CE,-0.440413,0.897795,0,0.897795,0.440413,0,3.04294,1.03856,0
18132,G,U,E,0.950643,-0.310288,0,0.310288,0.950643,0,19.0111,11.1606,0
3540,V,,,0.999807,-0.0196515,0,0.0196515,0.999807,0,4.26297,0.920565,0
4492,G,U,CE,0.714303,-0.699836,0,0.699836,0.714303,0,1.37158,0.751321,0
25644,G,U,V,-0.703597,0.710599,0,0.710599,0.703597,0,24.3144,5.13472,0
7772,G,U,CE,-0.0905667,0.99589,0,0.99589,0.0905667,0,0.590557,0.327956,0
14684,V,,,0.0342344,0.999414,0,0.999414,-0.0342344,0,7.75982,2.10158,0
14652,G,U,V,0.331398,0.943491,0,0.943491,-0.331398,0,2.80167,1.67734,0
12290,G,U,CE,-0.373647,0.927571,0,0.927571,0.373647,0,2.9063,1.02169,0
3394,V,,,0.983198,-0.182541,0,0.182541,0.983198,0,3.33965,1.3164,0
4802,G,U,E,0.967541,-0.252716,0,0.252716,0.967541,0,72.467,16.1695,0
13090,G,U,CE,-0.00157822,0.999999,0,0.999999,0.00157822,0,3.76554,1.43203,0
9122,V,,,0.91768,0.397321,0,-0.397321,0.91768,0,3.70814,1.65002,0
5858,V,,,-0.310981,0.950416,0,0.950416,0.310981,0,5.769,2.48452,0
11282,G,L,V,0.158092,0.987424,0,0.987424,-0.158092,0,3.99555,1.31614,0
8978,G,U,E,0.967804,0.251704,0,-0.251704,0.967804,0,165.373,22.6902,0
26258,V,,,0.995044,0.0994361,0,-0.0994361,0.995044,0,7.09668,1.72494,0
9298,G,U,E,0.991277,-0.131797,0,0.131797,0.991277,0,9.35097,4.16111,0
20338,G,U,E,0.912113,-0.409939,0,0.409939,0.912113,0,41.6003,9.23919,0
11338,G,U,CE,0.725126,-0.688616,0,0.688616,0.725126,0,1.81741,1.06972,0
31530,G,L,CE,-0.121671,0.992571,0,0.992571,0.121671,0,1.47516,0.85164,0
27562,G,L,CE,-0.55722,0.830365,0,0.830365,0.55722,0,1.38051,0.752017,0
21482,V,,,0.796954,0.60404,0,-0.60404,0.796954,0,8.0196,4.57674,0
6170,V,,,0.951036,0.309079,0,-0.309079,0.951036,0,2.90325,1.78331,0
2842,G,U,V,-0.648018,0.761625,0,0.761625,0.648018,0,9.98779,3.07677,0
12634,V,,,0.993034,0.117828,0,-0.117828,0.993034,0,3.37303,2.20001,0
21434,V,,,0.149579,0.98875,0,0.98875,-0.149579,0,5.00965,3.01641,0
25722,G,L,V,0.833933,-0.551866,0,0.551866,0.833933,0,4.28424,1.73958,0
6650,V,,,0.637758,0.770237,0,0.770237,-0.637758,0,13.6333,7.34016,0
7238,G,L,CE,0.456574,0.889685,0,0.889685,-0.456574,0,11.4009,5.75474,0
4134,V,,,0.901295,0.433206,0,-0.433206,0.901295,0,1.10034,0.673507,0
21094,G,L,V,0.976027,-0.21765,0,0.21765,0.976027,0,6.26824,2.65089,0
24806,G,U,CE,-0.0512991,0.998683,0,0.998683,0.0512991,0,2.24107,1.16776,0
3478,G,U,V,1,0,0,0,1,0,0,0,0
12886,G,U,E,0.964428,-0.264347,0,0.264347,0.964428,0,57.0712,10.8403,0
22998,V,,,0.987234,0.159275,0,-0.159275,0.987234,0,9.819,1.56152,0
7350,V,,,0.304146,0.952625,0,0.952625,-0.304146,0,1.28906,1.05926,0
25334,V,,,0.173385,0.984854,0,0.984854,-0.173385,0,16.8716,10.7222,0
3830,V,,,0.932401,0.361424,0,-0.361424,0.932401,0,2.81152,1.57825,0
14478,G,U,CE,-0.332771,0.943008,0,0.943008,0.332771,0,12.9353,4.18322,0
16718,G,L,V,0.110024,0.993929,0,0.993929,-0.110024,0,3.37242,1.37827,0
6990,G,U,E,0.865268,-0.50131,0,0.50131,0.865268,0,55.8,19.8449,0
25134,G,U,CE,-0.223061,0.974805,0,0.974805,0.223061,0,16.1117,6.46211,0
8350,G,U,V,0.841684,-0.539971,0,0.539971,0.841684,0,3.21541,0.804309,0
20574,G,U,E,0.741017,-0.671486,0,0.671486,0.741017,0,70.352,14.6137,0
17502,V,,,0.684169,0.729324,0,0.729324,-0.684169,0,1.22906,0.941571,0
4702,V,,,0.9246,-0.38094,0,0.38094,0.9246,0,0.876725,0.713014,0
5726,V,,,0.977475,0.211052,0,-0.211052,0.977475,0,5.8614,1.01693,0
7038,G,U,E,0.922249,-0.386597,0,0.386597,0.922249,0,62.7069,11.8449,0
42625,V,,,0.995468,0.095093,0,-0.095093,0.995468,0,6.3282,1.10975,0
41385,G,U,CE,-0.301012,0.95362,0,0.95362,0.301012,0,2.0294,1.01766,0
35513,G,U,CE,-0.232578,0.972578,0,0.972578,0.232578,0,5.09625,1.63755,0
39269,V,,,0.998964,0.0455077,0,-0.0455077,0.998964,0,5.4902,1.88608,0
46483,G,U,V,1,0,0,0,1,0,0,0,0
38411,G,U,E,0.907693,-0.419636,0,0.419636,0.907693,0,33.1243,5.86263,0
35823,G,U,CE,-0.563716,0.825969,0,0.825969,0.563716,0,18.5642,6.26165,0
