Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
11840,V,,,0.999706,0.0242279,0,-0.0242279,0.999706,0,4.76272,2.29367,0
5984,G,U,V,0.0600375,0.998196,0,0.998196,-0.0600375,0,4.27481,1.91421,0
5136,V,,,0.959001,-0.283402,0,0.283402,0.959001,0,3.48528,0.915287,0
4912,V,,,0.96882,-0.247765,0,0.247765,0.96882,0,2.88656,1.24612,0
30128,G,U,V,-0.317434,0.94828,0,0.94828,0.317434,0,5.26861,2.98483,0
3184,V,,,0.919072,0.394091,0,-0.394091,0.919072,0,2.34846,1.23476,0
5872,G,L,E,0.999994,-0.00358948,0,0.00358948,0.999994,0,41.1617,6.81928,0
25096,V,,,0.999378,0.0352716,0,-0.0352716,0.999378,0,5.48861,1.23295,0
25864,G,U,E,0.994485,-0.104877,0,0.104877,0.994485,0,34.8277,7.95122,0
12680,V,,,0.977598,-0.210479,0,0.210479,0.977598,0,1.39538,1.06267,0
5704,G,U,V,-0.515004,0.857188,0,0.857188,0.515004,0,16.8995,9.21694,0
5448,G,L,E,0.975778,0.218765,0,-0.218765,0.975778,0,62.5232,12.2814,0
17864,G,L,CE,-0.00121795,0.999999,0,0.999999,0.00121795,0,1.65032,1.49587,0
11608,G,L,V,0.407362,0.913267,0,0.913267,-0.407362,0,10.9362,4.04907,0
7268,G,L,E,0.986185,0.165647,0,-0.165647,0.986185,0,53.914,14.8957,0
31332,G,L,V,-0.508058,0.861323,0,0.861323,0.508058,0,15.131,5.60393,0
4628,V,,,0.991737,-0.12829,0,0.12829,0.991737,0,4.28472,1.17113,0
24084,G,U,CE,0.743131,-0.669146,0,0.669146,0.743131,0,12.2768,8.91132,0
19092,G,U,CE,0.950995,-0.309208,0,0.309208,0.950995,0,7.1154,4.04242,0
6804,V,,,0.994043,-0.108991,0,0.108991,0.994043,0,9.65456,4.30255,0
9332,V,,,0.999977,-0.00671961,0,0.00671961,0.999977,0,2.97601,0.460314,0
6388,V,,,0.997698,-0.0678166,0,0.0678166,0.997698,0,7.54224,2.42568,0
17396,G,U,V,0.791125,-0.611655,0,0.611655,0.791125,0,4.54116,2.87282,0
24652,V,,,0.943317,-0.331893,0,0.331893,0.943317,0,2.37728,1.48342,0
14572,V,,,0.40513,0.914259,0,0.914259,-0.40513,0,1.87258,1.03782,0
19906,G,U,CE,0.892855,-0.450344,0,0.450344,0.892855,0,4.82144,2.33618,0
9890,G,U,CE,0.982204,0.187817,0,-0.187817,0.982204,0,10.8454,5.54839,0
1378,V,,,0.999949,0.0101377,0,-0.0101377,0.999949,0,7.3727,1.31891,0
7186,V,,,0.993005,0.118069,0,-0.118069,0.993005,0,14.8252,1.91545,0
6802,G,U,E,0.904018,-0.427495,0,0.427495,0.904018,0,19.7913,4.78504,0
8818,G,U,V,0.614175,0.78917,0,0.78917,-0.614175,0,7.91845,4.98879,0
12146,G,U,V,0.719984,-0.693991,0,0.693991,0.719984,0,7.45773,4.10172,0
18162,G,L,CE,0.840303,0.542117,0,-0.542117,0.840303,0,7.72596,5.59251,0
27122,G,L,V,0.363861,0.931453,0,0.931453,-0.363861,0,0.993415,0.78363,0
27018,G,L,V,0.451341,0.892352,0,0.892352,-0.451341,0,5.27259,3.72947,0
4554,V,,,0.928814,0.370546,0,-0.370546,0.928814,0,1.73252,1.55277,0
10186,V,,,0.859325,0.51143,0,-0.51143,0.859325,0,4.89853,1.11479,0
22442,V,,,0.650713,0.759324,0,0.759324,-0.650713,0,6.59043,5.4722,0
8810,G,L,V,-0.0290373,0.999578,0,0.999578,0.0290373,0,3.30657,1.64586,0
25962,V,,,0.865479,-0.500946,0,0.500946,0.865479,0,2.2084,1.72075,0
28906,G,U,E,0.988716,-0.149805,0,0.149805,0.988716,0,78.7274,11.9395,0
2586,V,,,0.79498,0.606635,0,-0.606635,0.79498,0,2.68088,1.75882,0
5658,G,L,V,0.996091,0.0883362,0,-0.0883362,0.996091,0,7.08362,3.59158,0
10042,V,,,0.999485,0.0320753,0,-0.0320753,0.999485,0,4.11064,0.803381,0
18874,V,,,0.852764,-0.522297,0,0.522297,0.852764,0,5.3769,1.94652,0
14074,G,U,V,0.754212,-0.656631,0,0.656631,0.754212,0,8.79134,5.5137,0
24902,V,,,0.737666,0.675166,0,-0.675166,0.737666,0,2.24554,1.06799,0
24998,G,L,CE,0.715498,0.698614,0,-0.698614,0.715498,0,7.61367,4.19059,0
16230,G,U,E,0.982596,-0.185758,0,0.185758,0.982596,0,54.0645,12.8765,0
24806,V,,,0.999928,-0.0119793,0,0.0119793,0.999928,0,11.025,3.31371,0
16406,V,,,0.817843,-0.575442,0,0.575442,0.817843,0,3.00782,2.23211,0
4374,V,,,0.999462,-0.0327961,0,0.0327961,0.999462,0,4.70107,1.11597,0
5398,G,U,CE,-0.433162,0.901316,0,0.901316,0.433162,0,23.9822,11.6457,0
4246,G,U,CE,0.808419,-0.588608,0,0.588608,0.808419,0,6.90311,4.17219,0
31382,G,U,E,0.985784,-0.168018,0,0.168018,0.985784,0,48.8136,9.13301,0
15118,G,L,V,0.495806,0.868433,0,0.868433,-0.495806,0,29.7834,5.536,0
19854,V,,,0.949481,0.313825,0,-0.313825,0.949481,0,15.5006,3.23789,0
3758,V,,,0.866611,-0.498985,0,0.498985,0.866611,0,7.61565,4.25831,0
17390,V,,,0.431798,0.90197,0,0.90197,-0.431798,0,10.7997,6.52065,0
22878,G,U,V,-0.49286,0.870109,0,0.870109,0.49286,0,10.6797,3.94673,0
14302,G,U,CE,-0.41183,0.911261,0,0.911261,0.41183,0,8.21136,3.21933,0
22206,V,,,-0.304657,0.952462,0,0.952462,0.304657,0,4.05402,2.225,0
14014,G,L,E,0.99896,0.045587,0,-0.045587,0.99896,0,70.9058,7.13802,0
13310,G,L,CE,0.941051,0.338263,0,-0.338263,0.941051,0,16.1868,5.2594,0
40593,V,,,0.992618,0.121282,0,-0.121282,0.992618,0,3.68127,0.874925,0
35025,G,U,E,0.971652,-0.236416,0,0.236416,0.971652,0,18.2898,3.66583,0
45497,G,U,E,0.976847,-0.213941,0,0.213941,0.976847,0,26.2239,5.19327,0
38787,G,L,V,0.972443,-0.233142,0,0.233142,0.972443,0,18.1339,6.93033,0
34771,G,L,CE,-0.149454,0.988769,0,0.988769,0.149454,0,2.88019,2.17921,0
33075,G,L,CE,0.996745,0.0806214,0,-0.0806214,0.996745,0,14.905,8.39701,0
33867,V,,,0.942132,-0.335241,0,0.335241,0.942132,0,6.21541,1.85443,0
57755,G,U,E,0.968733,-0.248105,0,0.248105,0.968733,0,29.3774,9.50099,0
33007,G,U,CE,0.818884,-0.573959,0,0.573959,0.818884,0,16.9366,4.38086,0
41727,V,,,0.993739,0.111725,0,-0.111725,0.993739,0,3.87418,1.23055,0
