Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
4768,A,C,,0.98436,-0.176167,0,0.176167,0.98436,0,0.0696432,0.0415379,0
22032,V,L,,-0.630493,0.776195,0,0.776195,0.630493,0,6.6971,1.95723,0
26768,G,L,CE,-0.266155,0.96393,0,0.96393,0.266155,0,1.35216,0.467577,0
3792,A,C,,0.953135,-0.302545,0,0.302545,0.953135,0,0.215363,0.17803,0
16048,G,L,E,0.988018,-0.15434,0,0.15434,0.988018,0,15.6606,6.07648,0
5360,V,L,,0.994018,-0.109215,0,0.109215,0.994018,0,7.05028,2.63822,0
17288,G,U,V,0.95531,0.295607,0,-0.295607,0.95531,0,16.3906,5.4805,0
28872,,,,0.992694,-0.120656,0,0.120656,0.992694,0,8.04287,1.81887,0
25128,G,U,V,0.928782,-0.370627,0,0.370627,0.928782,0,7.37238,3.80855,0
5544,G,L,V,0.809769,0.586748,0,-0.586748,0.809769,0,10.517,2.92719,0
6760,,,,0.999945,-0.0104764,0,0.0104764,0.999945,0,5.71844,1.3618,0
22040,,,,0.530067,0.847956,0,0.847956,-0.530067,0,6.00301,5.73552,0
24408,A,C,,0.893949,0.448169,0,-0.448169,0.893949,0,0.0131767,0.0097253,0
17208,G,L,CE,0.999746,-0.0225266,0,0.0225266,0.999746,0,4.50911,3.00973,0
21880,G,L,E,0.93234,0.361582,0,-0.361582,0.93234,0,7.43957,2.59185,0
7544,G,U,CE,0.980418,-0.19693,0,0.19693,0.980418,0,2.13574,1.45841,0
12548,G,U,E,0.896381,-0.443285,0,0.443285,0.896381,0,4.00922,1.88033,0
26148,G,L,CE,0.859034,-0.511919,0,0.511919,0.859034,0,4.77339,3.69408,0
11044,G,U,E,0.908377,-0.418151,0,0.418151,0.908377,0,17.389,4.55583,0
4196,V,U,,1,0,0,0,1,0,0,0,0
26212,G,L,V,0.999888,0.0149525,0,-0.0149525,0.999888,0,3.49739,1.55376,0
