Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
11200,G,L,E,0.105632,0.994405,0,0.994405,-0.105632,0,3.49626,1.1561,0
20256,V,L,,-0.697999,0.716099,0,0.716099,0.697999,0,2.78873,1.39098,0
11424,V,U,P,0.999788,0.0205887,0,-0.0205887,0.999788,0,2.01874,1.19857,0
6804,V,U,,0.964547,0.263912,0,-0.263912,0.964547,0,1.80931,0.790281,0
11740,G,L,CE,-0.103237,0.994657,0,0.994657,0.103237,0,2.57984,1.52214,0
24028,V,U,,-0.271196,0.962524,0,0.962524,0.271196,0,3.43072,1.47068,0
3772,G,U,CE,0.99618,0.087328,0,-0.087328,0.99618,0,3.39292,2.20713,0
13052,G,U,E,-0.077936,0.996958,0,0.996958,0.077936,0,6.70304,1.93342,0
8386,G,L,CE,0.094023,0.99557,0,0.99557,-0.094023,0,4.87744,1.98504,0
16978,G,U,E,-0.370517,0.928826,0,0.928826,0.370517,0,7.99948,1.51441,0
10470,G,U,CE,0.0364875,0.999334,0,0.999334,-0.0364875,0,11.8838,2.8884,0
26518,V,L,P,0.374395,0.927269,0,0.927269,-0.374395,0,1.29289,0.61646,0
4822,V,L,,0.651203,0.758903,0,0.758903,-0.651203,0,0.715203,0.344873,0
30838,V,L,P,0.300925,0.953648,0,0.953648,-0.300925,0,2.46566,0.592259,0
9998,G,L,E,0.395274,0.918563,0,0.918563,-0.395274,0,4.36988,0.870738,0
