Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
4112,0.0367496,0.999325,0,0.999325,-0.0367496,0,3.34588,0.302034,0,G,U
12080,-0.0912038,0.995832,0,0.995832,0.0912038,0,1.61342,0.84951,0,V,U
2828,0.179986,0.983669,0,0.983669,-0.179986,0,2.62998,0.584637,0,V,L
11308,-0.0780082,0.996953,0,0.996953,0.0780082,0,0.824181,0.4685,0,V,L
7196,-0.0634199,0.997987,0,0.997987,0.0634199,0,5.66669,2.50822,0,V,U
23644,-0.0761858,0.997094,0,0.997094,0.0761858,0,2.12967,0.713577,0,V,C
4626,-0.0724708,0.997371,0,0.997371,0.0724708,0,1.90217,0.403039,0,G,L
29298,0.0527098,0.99861,0,0.99861,-0.0527098,0,2.31124,0.489696,0,G,L
18138,-0.0573807,0.998352,0,0.998352,0.0573807,0,1.51774,0.582175,0,V,C
31354,-0.0939587,0.995576,0,0.995576,0.0939587,0,8.39389,0.9834,0,G,C
22102,0.13404,0.990976,0,0.990976,-0.13404,0,7.01491,1.08141,0,G,C
19790,-0.128953,0.991651,0,0.991651,0.128953,0,2.58979,0.491573,0,G,U
