Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
13632,V,L,,0.0348871,0.999391,0,0.999391,-0.0348871,0,11.1776,6.1528,0
26184,G,C,CE,-0.143122,0.989705,0,0.989705,0.143122,0,6.3696,3.87163,0
5416,G,L,E,-0.272365,0.962194,0,0.962194,0.272365,0,0.984366,0.604929,0
24296,G,L,E,-0.609269,0.792963,0,0.792963,0.609269,0,1.04633,0.442522,0
32036,V,U,,0.888642,-0.458601,0,0.458601,0.888642,0,5.88068,2.86811,0
3492,G,U,E,0.0172612,0.999851,0,0.999851,-0.0172612,0,5.05131,1.70783,0
22580,G,U,E,0.462007,0.886876,0,0.886876,-0.462007,0,3.29616,0.876471,0
5986,V,L,,0.418318,0.908301,0,0.908301,-0.418318,0,3.40814,1.79647,0
17634,G,C,E,0.0490667,0.998796,0,0.998796,-0.0490667,0,0.659489,0.493864,0
27770,G,L,CE,0.259275,0.965804,0,0.965804,-0.259275,0,5.82332,1.59275,0
25190,G,U,CE,-0.248326,0.968677,0,0.968677,0.248326,0,7.05533,1.56401,0
9398,G,L,CE,0.0280419,0.999607,0,0.999607,-0.0280419,0,4.28272,1.41161,0
47577,V,U,,-0.179615,0.983737,0,0.983737,0.179615,0,3.96903,1.05451,0
36255,V,C,,0.999972,0.00752524,0,-0.00752524,0.999972,0,8.92353,4.66475,0
