Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
8768,G,C,E,0.148287,0.988944,0,0.988944,-0.148287,0,6.35984,0.972867,0
24296,G,U,E,0.664258,0.747503,0,0.747503,-0.664258,0,2.14044,1.07025,0
30456,V,L,,0.0159183,0.999873,0,0.999873,-0.0159183,0,3.43765,1.5466,0
4108,V,C,P,-0.498848,0.866689,0,0.866689,0.498848,0,6.90667,2.7471,0
5788,G,U,CE,-0.0412145,0.99915,0,0.99915,0.0412145,0,6.24247,1.73244,0
18108,V,C,,0.142583,0.989783,0,0.989783,-0.142583,0,2.78512,1.05592,0
16124,G,L,CE,0.081702,0.996657,0,0.996657,-0.081702,0,9.12749,1.31667,0
13308,G,U,E,0.151488,0.988459,0,0.988459,-0.151488,0,1.88499,0.303662,0
11938,V,U,,0.729216,-0.684284,0,0.684284,0.729216,0,6.29812,2.91759,0
15458,V,U,,-0.402572,0.915388,0,0.915388,0.402572,0,1.19956,0.817117,0
16978,G,L,E,-0.188585,0.982057,0,0.982057,0.188585,0,1.4209,0.348668,0
22730,V,L,P,0.377384,0.926057,0,0.926057,-0.377384,0,12.7188,1.54562,0
11674,G,C,CE,-0.0943474,0.995539,0,0.995539,0.0943474,0,5.2398,0.918213,0
10446,G,L,E,-0.171,0.985271,0,0.985271,0.171,0,4.39374,1.09476,0
21678,V,L,,0.79249,0.609885,0,-0.609885,0.79249,0,0.436046,0.240784,0
20990,V,L,,0.972384,0.233385,0,-0.233385,0.972384,0,7.0517,1.39753,0
33483,G,L,CE,0.195502,0.980703,0,0.980703,-0.195502,0,1.01682,0.331779,0
