Label,xMax,yMax,zMax,xMin,yMin,zMin,stretchRatioMax,stretchRatioMin,stretchRatioNormal,Tissue,Orientation
1872,0.825221,0.56481,-6.9167e-17,0.56481,-0.825221,1.01057e-16,1.25092,1.04307,0,G,U
1648,0.860255,0.509865,-6.24383e-17,0.509865,-0.860255,1.05347e-16,1.21416,1.16271,0,G,L
1720,0.862068,-0.506793,6.20622e-17,-0.506793,-0.862068,1.05569e-16,1.09825,0.987223,0,G,L
2564,0.994797,0.101874,-1.24756e-17,0.101874,-0.994797,1.21824e-16,1.26982,1.02546,0,G,U
676,0.986996,0.160744,-1.96848e-17,0.160744,-0.986996,1.20868e-16,1.15191,0.935682,0,G,U
1700,0.43485,-0.900503,1.10276e-16,-0.900503,-0.43485,5.3252e-17,1.0566,0.915337,0,G,L
468,0.232282,0.972648,-1.19111e-16,0.972648,-0.232282,2.84454e-17,1.17333,1.10356,0,G,U
2420,0.999934,0.0115278,-1.41171e-18,0.0115278,-0.999934,1.22452e-16,1.2149,1.05568,0,B,L
1908,0.118331,-0.992974,1.216e-16,-0.992974,-0.118331,1.44909e-17,1.20204,1.06274,0,B,U
1580,0.988134,-0.153595,1.88093e-17,-0.153595,-0.988134,1.21007e-16,1.187,1.01941,0,G,U
1564,0.0291026,-0.999576,1.22409e-16,-0.999576,-0.0291026,3.56392e-18,1.2362,0.974476,0,G,L
1628,0.841829,0.539744,-6.60974e-17,0.539744,-0.841829,1.03091e-16,1.18655,1.10878,0,A,C
732,0.738033,-0.674765,8.26322e-17,-0.674765,-0.738033,9.03799e-17,1.35303,0.962252,0,B,U
988,0.209457,-0.977818,1.19744e-16,-0.977818,-0.209457,2.56503e-17,1.0822,0.852307,0,B,U
1634,-0.043877,0.999037,-1.22343e-16,0.999037,0.043877,-5.37321e-18,1.11099,0.956078,0,G,U
2066,0.992164,-0.12494,1.53002e-17,-0.12494,-0.992164,1.21501e-16,1.24004,0.81603,0,V,U
1642,0.367118,-0.930174,1.1391e-16,-0.930174,-0.367118,4.49575e-17,1.08984,0.869159,0,A,C
2234,0.972865,-0.231373,2.83341e-17,-0.231373,-0.972865,1.19138e-16,1.22959,0.952374,0,V,L
2490,0.919914,-0.392121,4.80194e-17,-0.392121,-0.919914,1.12653e-16,1.31068,0.90907,0,B,L
198,0.621714,0.783244,-9.59166e-17,0.783244,-0.621714,7.61355e-17,1.15404,0.969911,0,G,U
2454,0.731403,-0.681946,8.35115e-17,-0.681946,-0.731403,8.95681e-17,1.10541,0.987429,0,B,L
1806,0.99727,-0.0738479,9.04346e-18,-0.0738479,-0.99727,1.22126e-16,1.33558,1.01948,0,B,U
46,0.714955,0.699171,-8.56209e-17,0.699171,-0.714955,8.75538e-17,1.18618,1.06314,0,G,U
1822,0.928003,0.372574,-4.56256e-17,0.372574,-0.928003,1.13644e-16,1.17919,1.09037,0,G,U
2046,0.711785,0.702398,-8.60161e-17,0.702398,-0.711785,8.71656e-17,1.04012,0.954005,0,B,U
1601,0.360816,0.932637,-1.14211e-16,0.932637,-0.360816,4.41858e-17,1.1798,1.04937,0,G,U
2209,0.959849,-0.280518,3.43524e-17,-0.280518,-0.959849,1.17544e-16,1.17604,1.07051,0,V,L
1633,0.819981,0.572391,-7.00954e-17,0.572391,-0.819981,1.00415e-16,1.14571,0.951231,0,G,U
2089,0.630997,-0.775785,9.50032e-17,-0.775785,-0.630997,7.72723e-17,1.15856,0.967703,0,G,L
617,0.798257,0.602317,-7.37601e-17,0.602317,-0.798257,9.77551e-17,1.22465,1.10811,0,G,U
1753,0.256731,0.966483,-1.18356e-16,0.966483,-0.256731,3.14394e-17,1.23577,1.11254,0,G,L
1721,0.238034,0.971257,-1.18941e-16,0.971257,-0.238034,2.91498e-17,1.2083,0.989971,0,,
2565,0.999659,0.0261251,-3.1993e-18,0.0261251,-0.999659,1.22419e-16,1.02853,1.00215,0,A,C
1629,0.985691,0.168564,-2.06424e-17,0.168564,-0.985691,1.20708e-16,1.13776,0.997243,0,A,C
2419,0.344351,-0.938841,1.14971e-16,-0.938841,-0.344351,4.21694e-17,1.1003,1.05019,0,G,L
1779,0.903734,-0.428094,5.24247e-17,-0.428094,-0.903734,1.10672e-16,1.29661,1.08862,0,B,U
1547,0.986984,-0.160821,1.96942e-17,-0.160821,-0.986984,1.20867e-16,1.1487,0.963841,0,V,U
2235,0.893815,-0.448435,5.49157e-17,-0.448435,-0.893815,1.09457e-16,1.15973,0.99704,0,V,L
2491,0.23747,0.971395,-1.18958e-16,0.971395,-0.23747,2.90808e-17,0.970928,0.933905,0,B,L
1543,0.983137,0.182871,-2.23944e-17,0.182871,-0.983137,1.20396e-16,1.24169,1.1123,0,V,U
2455,0.969131,-0.246548,3.01924e-17,-0.246548,-0.969131,1.1868e-16,1.21381,0.996963,0,B,L
119,0.418118,0.908393,-1.11242e-16,0.908393,-0.418118,5.1203e-17,1.17614,1.01149,0,G,U
1551,0.921835,0.387583,-4.74637e-17,0.387583,-0.921835,1.12888e-16,1.15532,1.06259,0,G,U
575,0.525629,-0.850714,1.04179e-16,-0.850714,-0.525629,6.43689e-17,1.0823,0.955848,0,B,L
703,0.88607,-0.463552,5.67668e-17,-0.463552,-0.88607,1.08509e-16,1.21455,0.868874,0,V,L
