Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
4032,,,,-0.336156,0.941806,0,0.941806,0.336156,0,0.580538,0.444865,0
4384,A,C,,0.539456,0.842014,0,0.842014,-0.539456,0,0.256824,0.214875,0
4256,G,L,V,0.699117,0.715007,0,0.715007,-0.699117,0,2.08414,0.598515,0
8096,,,,0.999759,-0.0219426,0,0.0219426,0.999759,0,0.683237,0.420411,0
22880,,,,-0.612432,0.790524,0,0.790524,0.612432,0,0.991477,0.399294,0
19424,A,C,,0.712985,-0.701179,0,0.701179,0.712985,0,0.611763,0.40469,0
6152,G,U,E,-0.43756,0.899189,0,0.899189,0.43756,0,1.03156,0.780988,0
30376,G,U,CE,-0.212703,0.977117,0,0.977117,0.212703,0,8.62079,1.43411,0
15848,G,U,V,0.999973,0.00740676,0,-0.00740676,0.999973,0,0.526482,0.375288,0
23320,G,U,V,0.948859,-0.315699,0,0.315699,0.948859,0,3.30906,2.08504,0
3416,G,L,E,0.65786,0.75314,0,0.75314,-0.65786,0,8.77506,1.16942,0
4952,V,U,,0.986697,-0.162568,0,0.162568,0.986697,0,0.5278,0.306518,0
2360,G,L,CE,-0.036257,0.999343,0,0.999343,0.036257,0,1.26321,0.498789,0
19524,V,U,,0.870349,-0.492435,0,0.492435,0.870349,0,1.48252,1.12591,0
27588,G,U,E,-0.109575,0.993979,0,0.993979,0.109575,0,2.10585,0.922139,0
9892,A,C,,0.164173,0.986432,0,0.986432,-0.164173,0,1.57628,0.590318,0
24420,V,C,,0.999183,0.0404102,0,-0.0404102,0.999183,0,0.433583,0.287007,0
27364,V,C,,0.997793,0.0664066,0,-0.0664066,0.997793,0,0.820416,0.267882,0
12852,G,L,CE,0.825427,0.564509,0,-0.564509,0.825427,0,2.59276,0.290877,0
2908,,,,0.808915,0.587926,0,-0.587926,0.808915,0,0.517087,0.155883,0
4412,,,,-0.357511,0.933909,0,0.933909,0.357511,0,3.08328,1.28072,0
7484,V,U,,0.981747,-0.190191,0,0.190191,0.981747,0,0.775399,0.32087,0
7970,G,U,CE,0.0202703,0.999795,0,0.999795,-0.0202703,0,1.25291,0.365704,0
21922,G,U,E,0.863597,-0.504183,0,0.504183,0.863597,0,1.22703,0.535921,0
3026,A,U,,0.0351514,0.999382,0,0.999382,-0.0351514,0,2.72743,0.989506,0
11058,G,L,E,0.951287,0.308308,0,-0.308308,0.951287,0,2.2634,0.747819,0
5618,,,,-0.0876313,0.996153,0,0.996153,0.0876313,0,0.993933,0.443874,0
3370,G,L,E,0.673032,0.739614,0,0.739614,-0.673032,0,4.20436,0.502632,0
28634,G,L,CE,0.727551,0.686054,0,-0.686054,0.727551,0,2.24611,1.61754,0
4410,V,U,,0.988533,0.151006,0,-0.151006,0.988533,0,1.20904,0.63046,0
26886,V,L,,0.811105,-0.584901,0,0.584901,0.811105,0,1.90631,0.798807,0
4678,A,C,,0.135319,0.990802,0,0.990802,-0.135319,0,6.45013,1.4171,0
25894,G,L ,V,0.622881,0.782316,0,0.782316,-0.622881,0,1.27448,0.212984,0
5110,G,U,E,0.997697,-0.0678266,0,0.0678266,0.997697,0,0.460071,0.180621,0
27022,V,L,,0.749149,-0.662402,0,0.662402,0.749149,0,1.72247,0.765207,0
12366,,,,0.0760221,0.997106,0,0.997106,-0.0760221,0,2.97874,0.329294,0
26046,G,U,CE,-0.525617,0.850721,0,0.850721,0.525617,0,5.99257,1.20281,0
41177,V,L,,-0.398206,0.917296,0,0.917296,0.398206,0,1.66155,1.12702,0
39957,V,U,,0.834889,-0.550419,0,0.550419,0.834889,0,2.80964,0.938165,0
39437,G,L ,V,0.773579,0.6337,0,-0.6337,0.773579,0,2.3133,0.378316,0
39677,V,C,,0.998031,0.0627219,0,-0.0627219,0.998031,0,1.2225,0.628287,0
40839,V,C,,-0.468583,0.88342,0,0.88342,0.468583,0,2.31992,1.30583,0
33767,V,L,,0.0118112,0.99993,0,0.99993,-0.0118112,0,1.03401,0.653898,0
