Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
1872,0.453364,0.891325,0,0.891325,-0.453364,0,16.8767,6.94716,0,G,U
1648,0.997747,-0.0670826,0,0.0670826,0.997747,0,0.342054,0.236053,0,G,L
1720,0.801777,-0.597624,0,0.597624,0.801777,0,21.064,12.2984,0,G,L
2564,-0.266163,0.963928,0,0.963928,0.266163,0,20.0643,14.1444,0,G,U
676,0.786651,0.617398,0,-0.617398,0.786651,0,107.419,29.1918,0,G,U
1700,0.194777,0.980848,0,0.980848,-0.194777,0,14.0831,3.44412,0,G,L
468,0.510851,0.859669,0,0.859669,-0.510851,0,0.257016,0.193365,0,G,U
2420,-0.353943,0.935267,0,0.935267,0.353943,0,2.52,1.34225,0,B,L
1908,0.906284,0.42267,0,-0.42267,0.906284,0,5.46265,2.58222,0,B,U
1580,-0.230995,0.972955,0,0.972955,0.230995,0,2.50055,1.468,0,G,U
1564,-0.493719,0.869622,0,0.869622,0.493719,0,1.34933,0.393076,0,G,L
1628,0.837043,-0.547137,0,0.547137,0.837043,0,1.26003,0.245509,0,A,C
732,-0.0433968,0.999058,0,0.999058,0.0433968,0,0.0039704,0.00013955,0,B,U
988,0.784027,0.620727,0,-0.620727,0.784027,0,0.000667338,2.36E-07,0,B,U
1634,0.523246,0.852182,0,0.852182,-0.523246,0,19.8987,8.13765,0,G,U
2066,-0.467306,0.884096,0,0.884096,0.467306,0,13.1037,9.15123,0,V,U
1642,0.017744,0.999843,0,0.999843,-0.017744,0,12.7715,6.39307,0,A,C
2234,0.982288,0.187379,0,-0.187379,0.982288,0,16.3093,6.42975,0,V,L
2490,-0.443287,0.89638,0,0.89638,0.443287,0,0.00580224,8.41E-11,0,B,L
198,-0.171245,0.985228,0,0.985228,0.171245,0,1.88778,0.462122,0,G,U
2454,-0.236447,0.971644,0,0.971644,0.236447,0,6.10658,0.69231,0,B,L
1806,0.359544,0.933128,0,0.933128,-0.359544,0,2.52318,0.74034,0,B,U
46,-0.198044,0.980193,0,0.980193,0.198044,0,0.116417,0.0550882,0,G,U
1822,-0.163658,0.986517,0,0.986517,0.163658,0,18.2963,5.09329,0,G,U
2046,0.825469,0.564447,0,-0.564447,0.825469,0,1.27975,0.0669135,0,B,U
1601,0.919741,0.392526,0,-0.392526,0.919741,0,62.698,29.5896,0,G,U
2209,0.998678,0.051394,0,-0.051394,0.998678,0,11.263,5.86372,0,V,L
1633,0.920211,0.391424,0,-0.391424,0.920211,0,14.258,9.55051,0,G,U
2089,-0.567145,0.823618,0,0.823618,0.567145,0,21.8972,8.13086,0,G,L
617,0.609201,0.793016,0,0.793016,-0.609201,0,65.829,16.3705,0,G,U
1753,-0.0293224,0.99957,0,0.99957,0.0293224,0,0.911331,0.429395,0,G,L
1721,0.718424,0.695605,0,-0.695605,0.718424,0,5.38417,3.21582,0,,
2565,0.037709,0.999289,0,0.999289,-0.037709,0,56.5082,25.7196,0,A,C
1629,0.864595,0.502469,0,-0.502469,0.864595,0,0.678634,0.367201,0,A,C
2419,-0.676904,0.736071,0,0.736071,0.676904,0,36.4726,5.20079,0,G,L
1779,0.106955,0.994264,0,0.994264,-0.106955,0,1.88159,0.184253,0,B,U
1547,0.833469,0.552566,0,-0.552566,0.833469,0,56.5113,20.3258,0,V,U
2235,0.951041,-0.309064,0,0.309064,0.951041,0,5.48391,3.36561,0,V,L
2491,-0.588838,0.808251,0,0.808251,0.588838,0,0.0402701,0.0225307,0,B,L
1543,-0.598713,0.800964,0,0.800964,0.598713,0,23.4865,16.2434,0,V,U
2455,-0.374587,0.927192,0,0.927192,0.374587,0,0.260244,0.191383,0,B,L
119,-0.623146,0.782105,0,0.782105,0.623146,0,4.26257,0.925265,0,G,U
1551,0.570886,0.821029,0,0.821029,-0.570886,0,41.9236,19.2729,0,G,U
575,-0.0959143,0.99539,0,0.99539,0.0959143,0,0.0356765,0.00482893,0,B,L
703,0.995751,-0.0920841,0,0.0920841,0.995751,0,13.5787,11.662,0,V,L
