Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
160,-0.683774,0.729694,0,0.729694,0.683774,0,58.7164,8.73579,0,G,L
4000,0.976109,0.217281,0,-0.217281,0.976109,0,25.7889,5.48345,0,V,U
1888,0.896329,0.44339,0,-0.44339,0.896329,0,51.8391,21.8134,0,V,U
1504,0.41731,0.908764,0,0.908764,-0.41731,0,0.09278,0.00242849,0,A,C
1544,0.377225,0.926121,0,0.926121,-0.377225,0,0.101744,0.0261443,0,B,L
72,0.459353,0.888254,0,0.888254,-0.459353,0,8.89812,3.1268,0,G,U
1704,-0.398747,0.917061,0,0.917061,0.398747,0,9.32591,1.29385,0,G,L
1896,-0.378038,0.92579,0,0.92579,0.378038,0,0.0554651,0.0290284,0,B,U
1880,0.892087,-0.451863,0,0.451863,0.892087,0,16.2937,12.5645,0,V,L
260,0.801341,0.598208,0,-0.598208,0.801341,0,21.0759,3.53194,0,G,U
20,-0.172284,0.985047,0,0.985047,0.172284,0,3.15314,1.60847,0,A,C
84,-0.275064,0.961426,0,0.961426,0.275064,0,56.1854,10.5775,0,G,L
244,0.70279,0.711398,0,0.711398,-0.70279,0,5.22495,2.11372,0,,
1524,0.244461,0.969659,0,0.969659,-0.244461,0,0.911802,0.231564,0,,
1996,0.970835,0.239747,0,-0.239747,0.970835,0,0.712158,0.0629839,0,G,U
1564,1,0,0,0,1,0,0,0,0,,
284,0.817547,0.575862,0,-0.575862,0.817547,0,52.3539,9.88551,0,G,U
1500,-0.523783,0.851852,0,0.851852,0.523783,0,4.55845,1.88157,0,,
1980,0.622871,0.782324,0,0.782324,-0.622871,0,2.20523,0.70206,0,B,U
1916,0.984909,0.173075,0,-0.173075,0.984909,0,7.22202,4.41298,0,V,U
1788,0.43718,0.899374,0,0.899374,-0.43718,0,2.78162,2.29634,0,V,L
770,0.966047,0.258367,0,-0.258367,0.966047,0,3.61126,2.50022,0,,
66,-0.253277,0.967394,0,0.967394,0.253277,0,1.70096,0.499926,0,,
1506,0.592611,0.805489,0,0.805489,-0.592611,0,1.31646,0.157611,0,G,U
1994,0.098862,0.995101,0,0.995101,-0.098862,0,0.000748846,5.18077e-06,0,,
1818,-0.155186,0.987885,0,0.987885,0.155186,0,114.287,18.2194,0,A,C
