Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
7296,G,L,V,-0.185134,0.982713,0,0.982713,0.185134,0,9.84821,4.17108,0
3712,A,L,,0.829148,0.55903,0,-0.55903,0.829148,0,1.77007,0.858328,0
7456,G,L,E,0.885783,0.4641,0,-0.4641,0.885783,0,9.08675,4.93964,0
19872,V,U,,1,0,0,0,1,0,0,0,0
32560,V,U,,0.839206,-0.543814,0,0.543814,0.839206,0,2.79819,2.69685,0
8264,V,U,,-0.126897,0.991916,0,0.991916,0.126897,0,7.13931,3.76204,0
7384,V,C,,0.999974,-0.00726572,0,0.00726572,0.999974,0,3.04908,2.28205,0
3640,G,L,E,0.996566,0.0827992,0,-0.0827992,0.996566,0,7.86108,2.87131,0
5624,G,L,E,0.971464,0.237187,0,-0.237187,0.971464,0,14.397,4.26597,0
27396,V,L,,0.982012,-0.188817,0,0.188817,0.982012,0,4.57712,1.30725,0
12996,G,L,CE,-0.274811,0.961498,0,0.961498,0.274811,0,20.0427,12.4975,0
7396,A,L,,-0.343277,0.939234,0,0.939234,0.343277,0,0.981773,0.575247,0
19092,V,U,,-0.601214,0.799088,0,0.799088,0.601214,0,4.42926,2.93873,0
15700,A,L,,-0.673321,0.73935,0,0.73935,0.673321,0,0.758846,0.594344,0
12244,V,U,,0.867293,0.497799,0,-0.497799,0.867293,0,10.5389,6.45874,0
10796,G,L,CE,-0.157808,0.98747,0,0.98747,0.157808,0,19.0276,9.35833,0
30060,G,U,E,0.849622,0.527392,0,-0.527392,0.849622,0,2.58854,1.81973,0
12380,G,L,CE,-0.438564,0.8987,0,0.8987,0.438564,0,36.188,20.9609,0
10658,A,U,,0.966699,0.255918,0,-0.255918,0.966699,0,0.830269,0.652738,0
25698,G,U,E,-0.290328,0.956927,0,0.956927,0.290328,0,1.68647,1.17524,0
8802,G,L,CE,-0.462742,0.886493,0,0.886493,0.462742,0,10.1258,6.28986,0
8274,V,U,,0.98947,-0.144738,0,0.144738,0.98947,0,4.92448,2.56188,0
18898,V,C,,0.669129,0.743146,0,0.743146,-0.669129,0,8.0723,6.9245,0
24050,V,L,,0.971175,-0.238366,0,0.238366,0.971175,0,2.64954,2.15335,0
9738,G,U,V,-0.117303,0.993096,0,0.993096,0.117303,0,25.5815,7.27263,0
5322,G,U,CE,-0.184329,0.982865,0,0.982865,0.184329,0,9.76296,2.87971,0
24682,G,U,CE,0.237759,0.971324,0,0.971324,-0.237759,0,39.3788,12.6866,0
25834,G,U,CE,0.0202256,0.999795,0,0.999795,-0.0202256,0,25.3189,8.57264,0
18458,A,U,,0.439801,0.898095,0,0.898095,-0.439801,0,2.00407,1.53804,0
13146,G,L,V,-0.0269229,0.999637,0,0.999637,0.0269229,0,14.2465,9.44146,0
18138,A,U,,0.150507,0.988609,0,0.988609,-0.150507,0,0.354627,0.242633,0
13274,A,U,,0.967316,-0.253573,0,0.253573,0.967316,0,1.36839,0.947328,0
28346,G,U,V,1,0,0,0,1,0,0,0,0
4538,V,L,,0.81704,0.576582,0,-0.576582,0.81704,0,5.02316,2.40035,0
4870,G,L,V,-0.0508766,0.998705,0,0.998705,0.0508766,0,4.43278,2.87073,0
4390,G,U,V,0.20413,0.978944,0,0.978944,-0.20413,0,17.6291,8.61656,0
28694,G,U,CE,0.223472,0.97471,0,0.97471,-0.223472,0,28.2242,5.50768,0
22294,G,U,V,-0.352482,0.935819,0,0.935819,0.352482,0,4.54654,2.67784,0
5038,G,L,E,0.916196,0.400729,0,-0.400729,0.916196,0,15.6539,6.2451,0
8046,A,L,,0.999759,0.0219513,0,-0.0219513,0.999759,0,0.517079,0.351752,0
1886,V,L,,1,0,0,0,1,0,0,0,0
17406,G,L,V,-0.0692576,0.997599,0,0.997599,0.0692576,0,19.7433,8.98687,0
40793,G,L,E,0.96814,0.250409,0,-0.250409,0.96814,0,13.1666,6.63409,0
46765,G,U,E,0.989599,0.143853,0,-0.143853,0.989599,0,6.86702,3.83039,0
40595,G,U,CE,0.455232,0.890373,0,0.890373,-0.455232,0,3.60132,1.52052,0
33587,G,U,CE,-0.061364,0.998115,0,0.998115,0.061364,0,10.2187,4.35705,0
47403,G,U,CE,-0.0679628,0.997688,0,0.997688,0.0679628,0,3.12568,1.23725,0
40919,G,U,E,0.993406,0.114647,0,-0.114647,0.993406,0,3.44933,2.85758,0
57919,G,U,CE,0.126011,0.992029,0,0.992029,-0.126011,0,6.60573,1.62347,0
