Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
5056,V,U,,1,0,0,0,1,0,0,0,0
7248,V,C,,0.0340649,0.99942,0,0.99942,-0.0340649,0,3.56589,3.06633,0
21552,V,U,,0.585347,0.810783,0,0.810783,-0.585347,0,2.87418,1.48971,0
21808,V,L,,0.999978,0.0065853,0,-0.0065853,0.999978,0,1.90668,0.706365,0
6128,V,U,,0.998965,-0.0454787,0,0.0454787,0.998965,0,4.3766,2.33922,0
15624,V,L,,-0.00844081,0.999964,0,0.999964,0.00844081,0,7.03258,6.12774,0
9096,V,U,,0.999799,0.0200242,0,-0.0200242,0.999799,0,1.90991,1.01607,0
24520,V,U,,0.941723,-0.336388,0,0.336388,0.941723,0,2.48669,1.38035,0
14872,G,U,E,0.81545,0.578828,0,-0.578828,0.81545,0,0.46748,0.27681,0
30616,G,L,E,0.750105,0.661319,0,-0.661319,0.750105,0,5.58873,3.15448,0
10712,G,L,V,-0.0755771,0.99714,0,0.99714,0.0755771,0,3.10928,1.27226,0
3544,V,L,,0.887383,0.461034,0,-0.461034,0.887383,0,6.47681,4.06674,0
18488,G,U,CE,0.337626,0.94128,0,0.94128,-0.337626,0,8.54146,1.71977,0
8056,V,U,,-0.547985,0.836488,0,0.836488,0.547985,0,4.19643,2.3506,0
2692,G,U,E,0.770456,0.637493,0,-0.637493,0.770456,0,5.06086,3.21476,0
3460,G,U,CE,0.446333,0.894867,0,0.894867,-0.446333,0,6.2555,4.05176,0
6212,G,L,V,1,0,0,0,1,0,0,0,0
32708,G,U,CE,0.258644,0.965973,0,0.965973,-0.258644,0,6.19025,1.15281,0
4132,G,U,V,1,0,0,0,1,0,0,0,0
17940,G,U,V,-0.10511,0.994461,0,0.994461,0.10511,0,6.42364,2.93574,0
22036,G,L,E,0.971509,-0.237003,0,0.237003,0.971509,0,6.56468,3.9852,0
14420,G,U,V,1,0,0,0,1,0,0,0,0
18100,G,U,V,1,0,0,0,1,0,0,0,0
12916,G,U,E,0.816816,0.576899,0,-0.576899,0.816816,0,1.73514,0.746115,0
10740,V,U,,0.97055,0.240899,0,-0.240899,0.97055,0,1.8587,0.71744,0
2892,G,L,CE,-0.292471,0.956274,0,0.956274,0.292471,0,3.3956,1.152,0
9932,G,U,CE,0.258265,0.966074,0,0.966074,-0.258265,0,12.1649,5.19865,0
5676,G,U,CE,0.771805,-0.63586,0,0.63586,0.771805,0,4.4928,4.00896,0
4716,V,L,,0.974333,0.22511,0,-0.22511,0.974333,0,3.72475,3.45519,0
12188,G,U,CE,0.939381,-0.342875,0,0.342875,0.939381,0,3.8945,2.05222,0
5180,G,U,V,-0.311248,0.950329,0,0.950329,0.311248,0,8.87822,3.14941,0
26748,V,C,,0.697671,0.716419,0,0.716419,-0.697671,0,3.54065,3.22758,0
14076,G,U,E,0.94557,0.325418,0,-0.325418,0.94557,0,2.93687,1.57485,0
2556,G,U,E,0.999891,-0.014791,0,0.014791,0.999891,0,5.79882,1.6911,0
19778,G,U,E,0.990531,-0.137287,0,0.137287,0.990531,0,3.37797,1.30396,0
2210,A,C,,0.995979,0.0895864,0,-0.0895864,0.995979,0,0.836495,0.538266,0
3490,G,L,E,0.999878,-0.0156379,0,0.0156379,0.999878,0,15.6422,5.4197,0
818,G,L,E,0.987967,0.154665,0,-0.154665,0.987967,0,9.81219,4.74445,0
7858,G,U,E,0.925847,-0.377899,0,0.377899,0.925847,0,4.45177,1.86007,0
3698,G,U,E,0.905701,-0.423917,0,0.423917,0.905701,0,4.69851,2.76676,0
30194,G,L,CE,0.996726,-0.0808488,0,0.0808488,0.996726,0,11.079,9.94576,0
14346,G,L,E,0.992204,0.124622,0,-0.124622,0.992204,0,23.5397,8.08853,0
15178,G,U,V,-0.602095,0.798425,0,0.798425,0.602095,0,1.80709,0.703596,0
16074,V,C,,1,0,0,0,1,0,0,0,0
25546,V,C,,0.780528,-0.625121,0,0.625121,0.780528,0,5.64312,4.05888,0
4394,G,L,CE,0.189365,0.981907,0,0.981907,-0.189365,0,4.79567,2.17332,0
5930,G,U,CE,-0.155716,0.987802,0,0.987802,0.155716,0,7.60633,3.47649,0
12074,V,L,,-0.639365,0.768903,0,0.768903,0.639365,0,6.53955,1.71696,0
2330,V,L,,0.909887,0.414857,0,-0.414857,0.909887,0,8.36159,5.97347,0
12058,G,U,CE,0.335699,0.941969,0,0.941969,-0.335699,0,5.22897,1.76095,0
2202,G,U,V,-0.549084,0.835767,0,0.835767,0.549084,0,2.90752,1.42003,0
4538,V,L,,1,0,0,0,1,0,0,0,0
12730,V,C,,0.999925,0.0122593,0,-0.0122593,0.999925,0,1.50701,1.16476,0
3002,G,U,CE,1,0.000464615,0,-0.000464615,1,0,8.37346,6.65889,0
5498,G,U,CE,0.956797,0.290758,0,-0.290758,0.956797,0,2.75567,0.770081,0
16378,A,C,,0.89436,-0.447347,0,0.447347,0.89436,0,0.987845,0.47877,0
15622,V,L,,0.990037,0.140808,0,-0.140808,0.990037,0,1.20993,0.658436,0
2118,V,U,,0.973133,0.230244,0,-0.230244,0.973133,0,2.98893,1.57183,0
3014,G,U,CE,0.110755,0.993848,0,0.993848,-0.110755,0,4.5166,1.04524,0
16326,G,U,CE,-0.256925,0.966431,0,0.966431,0.256925,0,2.11019,1.18592,0
5734,G,U,E,0.427735,0.903904,0,0.903904,-0.427735,0,4.04281,1.44865,0
7142,G,U,E,0.302481,0.953155,0,0.953155,-0.302481,0,2.52345,1.3061,0
5430,V,L,,0.940892,0.338705,0,-0.338705,0.940892,0,3.92829,1.19132,0
20918,G,U,CE,-0.246789,0.969069,0,0.969069,0.246789,0,8.98213,3.77105,0
5238,G,U,E,0.97472,-0.223429,0,0.223429,0.97472,0,3.45767,1.42927,0
3190,G,L,E,0.98271,0.18515,0,-0.18515,0.98271,0,20.8026,8.88756,0
9718,G,L,V,0.593312,0.804972,0,0.804972,-0.593312,0,3.38234,1.86784,0
4750,G,L,E,0.96849,0.249052,0,-0.249052,0.96849,0,8.10163,3.81738,0
7982,G,L,CE,0.896843,0.442349,0,-0.442349,0.896843,0,5.46876,4.63158,0
19822,V,L,,0.444314,0.895871,0,0.895871,-0.444314,0,4.40423,2.26914,0
2286,V,U,,-0.56752,0.823359,0,0.823359,0.56752,0,3.28286,1.584,0
2078,G,U,V,0.119353,0.992852,0,0.992852,-0.119353,0,5.18051,1.32689,0
8734,G,U,E,0.835021,-0.550218,0,0.550218,0.835021,0,1.36819,0.922922,0
4190,G,L,CE,0.884135,-0.467232,0,0.467232,0.884135,0,3.61551,2.62666,0
5822,G,L,E,0.983771,-0.179431,0,0.179431,0.983771,0,14.8879,6.54823,0
40179,G,L,CE,0.673219,0.739443,0,0.739443,-0.673219,0,19.5081,15.8272,0
48171,G,L,E,0.986093,0.166194,0,-0.166194,0.986093,0,4.70673,3.03342,0
45583,,,,1,0,0,0,1,0,0,0,0
