Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
6656,V,,,-0.692691,0.721234,0,0.721234,0.692691,0,7.67444,6.14334,0
22912,G,U,CE,-0.0395685,0.999217,0,0.999217,0.0395685,0,7.8744,0.697104,0
25632,G,U,CE,-0.115867,0.993265,0,0.993265,0.115867,0,22.2233,9.08453,0
17568,V,,,-0.554862,0.831943,0,0.831943,0.554862,0,4.23977,1.99111,0
8800,V,,,-0.324665,0.945829,0,0.945829,0.324665,0,2.00233,1.33059,0
25104,G,U,E,-0.306187,0.951971,0,0.951971,0.306187,0,8.43092,4.55488,0
22576,V,,,0.753959,0.656921,0,-0.656921,0.753959,0,0.987074,0.587781,0
20592,G,L,V,0.757487,-0.65285,0,0.65285,0.757487,0,6.02206,2.71906,0
19824,G,L,E,0.997503,0.0706222,0,-0.0706222,0.997503,0,4.36243,2.65336,0
14320,G,L,V,0.0304259,0.999537,0,0.999537,-0.0304259,0,7.86401,2.14871,0
17512,G,L,E,0.99975,-0.0223472,0,0.0223472,0.99975,0,3.43214,1.47528,0
7784,G,U,E,-0.0356829,0.999363,0,0.999363,0.0356829,0,2.87339,1.25106,0
9448,V,,,0.898657,-0.438652,0,0.438652,0.898657,0,10.5143,5.0479,0
17128,V,,,0.996875,-0.0789913,0,0.0789913,0.996875,0,3.98365,2.36954,0
10648,G,U,E,-0.15865,0.987335,0,0.987335,0.15865,0,1.73,0.995047,0
15768,G,L,V,-0.345524,0.93841,0,0.93841,0.345524,0,2.53819,1.53875,0
25016,G,U,V,-0.195996,0.980605,0,0.980605,0.195996,0,4.22389,2.4087,0
32120,G,U,V,-0.235925,0.971771,0,0.971771,0.235925,0,1.11913,0.460646,0
7684,V,,,0.952502,0.304531,0,-0.304531,0.952502,0,2.20329,1.69895,0
10884,V,,,0.977539,-0.210756,0,0.210756,0.977539,0,5.50559,3.76031,0
