Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
3856,V,C,,-0.0891462,0.996019,0,0.996019,0.0891462,0,12.7304,2.43878,0
6168,G,C,CE,0.840959,0.5411,0,-0.5411,0.840959,0,5.93322,4.6019,0
14136,V,L,,-0.103662,0.994613,0,0.994613,0.103662,0,5.15049,2.39257,0
5140,V,U,,-0.100913,0.994895,0,0.994895,0.100913,0,27.9901,6.6757,0
21588,G,L,E,0.239875,0.970804,0,0.970804,-0.239875,0,2.74642,0.536682,0
3084,G,C,E,0.035069,0.999385,0,0.999385,-0.035069,0,1.96619,0.805248,0
27756,G,L,CE,0.502739,0.864438,0,0.864438,-0.502739,0,1.59691,0.727637,0
4370,G,U,E,-0.0169769,0.999856,0,0.999856,0.0169769,0,5.7762,1.54395,0
29042,G,U,CE,0.824141,-0.566385,0,0.566385,0.824141,0,3.61619,2.32377,0
18862,V,L,,0.262003,0.965067,0,0.965067,-0.262003,0,19.008,2.99885,0
32382,G,U,E,0.847508,-0.530783,0,0.530783,0.847508,0,1.56148,1.19654,0
38549,V,U,,-0.307062,0.951689,0,0.951689,0.307062,0,2.99,1.05415,0
