Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
15328,V,L,,0.994873,0.101134,0,-0.101134,0.994873,0,3.32251,1.18983,0
6096,G,L,E,0.959634,0.281253,0,-0.281253,0.959634,0,2.11928,1.47745,0
27112,G,L,CE,-0.00313441,0.999995,0,0.999995,0.00313441,0,4.46641,3.92383,0
21480,G,C,E,-0.48067,0.876902,0,0.876902,0.48067,0,3.85862,1.61253,0
48276,,,,0.229754,0.973249,0,0.973249,-0.229754,0,0.781106,0.119863,0
10836,G,C,CE,-0.287238,0.957859,0,0.957859,0.287238,0,8.28635,3.81703,0
24348,G,U,E,0.867002,-0.498305,0,0.498305,0.867002,0,3.11724,2.24537,0
22050,V,U,,0.684745,0.728783,0,0.728783,-0.684745,0,4.98852,3.1484,0
21338,V,L,,0.0966986,0.995314,0,0.995314,-0.0966986,0,6.54357,3.19007,0
26330,V,U,CE,0.997024,0.0770866,0,-0.0770866,0.997024,0,6.55863,3.52023,0
5754,G,U,E,0.347417,0.937711,0,0.937711,-0.347417,0,3.477,1.03761,0
26294,V,C,,0.963029,0.269399,0,-0.269399,0.963029,0,5.38801,4.15871,0
4830,V,L,,0.973319,-0.229454,0,0.229454,0.973319,0,2.70176,2.21067,0
8254,G,U,CE,0.913216,-0.407476,0,0.407476,0.913216,0,11.4179,4.47969,0
6462,V,U,,-0.106381,0.994325,0,0.994325,0.106381,0,6.50077,3.58673,0
38105,V,L,CE,0.150381,0.988628,0,0.988628,-0.150381,0,2.92134,1.76975,0
48275,G,L,E,0.11097,0.993824,0,0.993824,-0.11097,0,4.76801,1.30092,0
41627,U,,,0.999741,-0.022753,0,0.022753,0.999741,0,6.88153,5.70275,0
