Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
4608,G,L,CE,0.929827,0.367997,0,-0.367997,0.929827,0,14.035,7.23602,0
11072,V,U,P,0.991434,0.130606,0,-0.130606,0.991434,0,22.6708,8.12527,0
7600,V,C,P,1,0,0,0,1,0,0,0,0
8056,G,L,E,-0.26011,0.965579,0,0.965579,0.26011,0,8.10497,2.37037,0
8452,G,L,P,1,0,0,0,1,0,0,0,0
25412,G,L,CE,-0.506552,0.862209,0,0.862209,0.506552,0,12.9103,7.80904,0
18996,G,C,E,0.101717,0.994813,0,0.994813,-0.101717,0,11.8621,2.08584,0
23860,V,L,,0.14722,0.989104,0,0.989104,-0.14722,0,4.65193,1.70149,0
32372,G,L,E,0.207649,0.978203,0,0.978203,-0.207649,0,3.22018,2.26954,0
12364,V,U,,0.900436,0.434989,0,-0.434989,0.900436,0,1.82205,1.16648,0
25626,G,U,CE,1,0,0,0,1,0,0,0,0
29658,V,C,,0.12694,0.99191,0,0.99191,-0.12694,0,17.1206,3.75823,0
26694,G,L,CE,0.954517,-0.298156,0,0.298156,0.954517,0,15.8727,11.5411,0
28246,V,U,,-0.315145,0.949044,0,0.949044,0.315145,0,1.97336,0.72276,0
9998,G,U,E,-0.513379,0.858162,0,0.858162,0.513379,0,6.13256,2.01087,0
14158,G,U,E,0.0820227,0.99663,0,0.99663,-0.0820227,0,7.24511,3.52475,0
40841,V,L,,0.997877,0.0651261,0,-0.0651261,0.997877,0,11.1701,5.02986,0
38823,G,C,CE,0.904037,-0.427453,0,0.427453,0.904037,0,11.6357,6.16706,0
