Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation,Specific tissue
32768,-0.564778,0.825243,0,0.825243,0.564778,0,3.21177,2.92655,0,G,L,E
16384,0.882123,0.47102,0,-0.47102,0.882123,0,1.55778,0.504167,0,A,C,
14000,0.708416,0.705796,0,-0.705796,0.708416,0,1.75742,1.58024,0,V,C,
32488,0.539683,0.841868,0,0.841868,-0.539683,0,2.98442,1.61591,0,G,U,CE
17112,-0.0671333,0.997744,0,0.997744,0.0671333,0,8.7242,3.22979,0,V,C,
19092,0.0731823,0.997319,0,0.997319,-0.0731823,0,0.358477,0.234308,0,,,
13108,-0.507012,0.861939,0,0.861939,0.507012,0,3.22303,1.28881,0,A,U,
29492,0.954334,0.29874,0,-0.29874,0.954334,0,3.53815,1.18443,0,G,L,E
3276,-0.390773,0.920487,0,0.920487,0.390773,0,0.381705,0.290775,0,G,L,E
19660,0.915222,-0.40295,0,0.40295,0.915222,0,1.15367,0.444454,0,,,
21292,-0.414254,0.910161,0,0.910161,0.414254,0,1.37259,1.14045,0,,,
20604,-0.605839,0.795588,0,0.795588,0.605839,0,2.56369,2.41667,0,V,C,
13308,0.00203414,0.999998,0,0.999998,-0.00203414,0,1.42209,0.660953,0,,,
23954,-0.270041,0.962849,0,0.962849,0.270041,0,7.67772,3.65891,0,V,C,
14314,0.999158,0.0410346,0,-0.0410346,0.999158,0,8.17162,4.22304,0,,,
1050,0.84063,0.54161,0,-0.54161,0.84063,0,2.04536,1.26406,0,G,L,V
6554,-0.320325,0.947308,0,0.947308,0.320325,0,1.59165,0.782929,0,G,U,E
22938,0.708292,0.70592,0,-0.70592,0.708292,0,1.34562,0.523111,0,A,L,
4474,0.861637,0.507524,0,-0.507524,0.861637,0,16.357,4.05634,0,,,
31878,0.238034,0.971257,0,0.971257,-0.238034,0,1.72687,1.17601,0,V,U,
9830,0.823835,-0.56683,0,0.56683,0.823835,0,2.44183,1.11424,0,G,U,E
26214,-0.58963,0.807674,0,0.807674,0.58963,0,0.388001,0.321596,0,G,L,E
14054,0.439967,0.898014,0,0.898014,-0.439967,0,0.649543,0.383128,0,,,
14998,-0.539594,0.841926,0,0.841926,0.539594,0,2.23696,0.9998,0,,,
19670,-0.0397902,0.999208,0,0.999208,0.0397902,0,8.87207,4.67251,0,V,L,
12814,0.977065,0.21294,0,-0.21294,0.977065,0,0.778028,0.377146,0,,,
10030,0.231899,0.97274,0,0.97274,-0.231899,0,2.72624,1.19673,0,G,L,CE
29758,-0.0322274,0.999481,0,0.999481,0.0322274,0,1.25254,0.563428,0,G,L,V
50057,-0.153328,0.988175,0,0.988175,0.153328,0,0.533896,0.360912,0,,,
50889,0.976438,-0.2158,0,0.2158,0.976438,0,8.8383,4.17435,0,,,
37673,0.917359,0.398061,0,-0.398061,0.917359,0,2.64047,1.58942,0,G,L,CE
39321,0.641647,0.767,0,0.767,-0.641647,0,2.97896,0.880563,0,,,
55705,0.999584,-0.0288442,0,0.0288442,0.999584,0,10.9471,4.39581,0,,,
60537,-0.381049,0.924555,0,0.924555,0.381049,0,2.6175,0.979205,0,,,
52613,0.859039,0.51191,0,-0.51191,0.859039,0,2.37096,1.21067,0,A,U,
54053,0.722773,0.691085,0,-0.691085,0.722773,0,16.1398,2.5781,0,,,
42597,0.946097,0.323883,0,-0.323883,0.946097,0,4.83736,1.31712,0,,,
58981,0.426495,0.90449,0,0.90449,-0.426495,0,5.3283,2.07753,0,,,
47845,-0.655864,0.754879,0,0.754879,0.655864,0,1.98897,0.733901,0,A,C,
42525,0.39903,0.916938,0,0.916938,-0.39903,0,0.273466,0.104933,0,,,
47549,0.179177,0.983817,0,0.983817,-0.179177,0,3.4783,1.77073,0,V,U,
39043,0.361637,0.932319,0,0.932319,-0.361637,0,2.46652,0.747024,0,G,L,CE
50595,0.104812,0.994492,0,0.994492,-0.104812,0,3.74067,2.35801,0,V,U,
45875,0.794037,0.60787,0,-0.60787,0.794037,0,5.74828,1.81246,0,,,
46515,0.170576,0.985344,0,0.985344,-0.170576,0,0.567937,0.385111,0,,,
36043,-0.337789,0.941222,0,0.941222,0.337789,0,3.98203,2.98342,0,,,
52427,-0.28161,0.959529,0,0.959529,0.28161,0,4.38206,1.68066,0,,,
39851,0.978407,-0.206686,0,0.206686,0.978407,0,4.7874,3.76063,0,G,U,CE
42875,-0.575736,0.817636,0,0.817636,0.575736,0,1.38757,0.772292,0,,,
53127,0.966253,0.257596,0,-0.257596,0.966253,0,1.35055,0.513948,0,,,
48711,0.754983,-0.655745,0,0.655745,0.754983,0,3.86843,1.19473,0,V,L,
41751,0.767198,0.64141,0,-0.64141,0.767198,0,2.80096,1.07191,0,A,C,
34111,0.549845,0.835267,0,0.835267,-0.549845,0,0.450901,0.365774,0,,,
35071,-0.0925155,0.995711,0,0.995711,0.0925155,0,3.89377,2.41845,0,G,V,U
49151,-0.308959,0.951075,0,0.951075,0.308959,0,3.53719,2.1757,0,,,
65535,0.981211,-0.192936,0,0.192936,0.981211,0,0.634363,0.537413,0,B,,
