Label,Tissue,Orientaion,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
12992,V,L,,0.9988,0.0489712,0,-0.0489712,0.9988,0,0.902012,0.467366,0
4640,V,L,,0.858634,0.51259,0,-0.51259,0.858634,0,0.892591,0.761098,0
10976,,,,0.190023,0.98178,0,0.98178,-0.190023,0,0.837423,0.735357,0
11400,V,U,,0.77939,-0.626539,0,0.626539,0.77939,0,1.2032,0.737248,0
4008,G,U,E,0.288553,0.957464,0,0.957464,-0.288553,0,0.651773,0.348336,0
4712,V,L,,-0.216862,0.976202,0,0.976202,0.216862,0,0.880927,0.555092,0
2584,,,,0.960087,0.2797,0,-0.2797,0.960087,0,2.58893,1.45339,0
2456,,,,0.996022,-0.0891057,0,0.0891057,0.996022,0,0.94155,0.542812,0
17208,V,L,,0.154701,0.987961,0,0.987961,-0.154701,0,1.14774,0.597688,0
3460,G,L,CE,0.716114,-0.697984,0,0.697984,0.716114,0,0.929102,0.514086,0
21988,V,C,,-0.220756,0.975329,0,0.975329,0.220756,0,1.77933,1.03829,0
10772,G,U,E,1,0,0,0,1,0,0,0,0
26772,G,L,E,0.993701,0.112068,0,-0.112068,0.993701,0,0.182686,0.09462,0
20788,G,U,E,0.718679,-0.695342,0,0.695342,0.718679,0,2.22698,1.14093,0
4788,,,,0.960277,-0.27905,0,0.27905,0.960277,0,0.122012,0.0574028,0
26292,G,U,CE,-0.360693,0.932685,0,0.932685,0.360693,0,1.53071,1.30555,0
2060,G,L,CE,0.767126,0.641497,0,-0.641497,0.767126,0,1.51967,1.15146,0
13708,G,U,E,0.852057,0.52345,0,-0.52345,0.852057,0,0.627871,0.346488,0
20780,G,U,V,0.997779,0.0666162,0,-0.0666162,0.997779,0,1.76631,0.832946,0
14060,,,,0.957833,-0.287324,0,0.287324,0.957833,0,1.85354,1.30908,0
24300,,,,0.984658,-0.174496,0,0.174496,0.984658,0,1.89092,0.397518,0
